year	1984
imdb score	7.4
meta score	46
genre	Adventure
genre	Drama
genre	Family
genre	Fantasy
keyword	book
keyword	boy
keyword	bully
keyword	attic
keyword	empress
keyword	destruction
keyword	warrior
keyword	bookstore
keyword	hiding
keyword	quest
keyword	reading
keyword	fantasy world
keyword	magic
keyword	magic book
keyword	hero
keyword	encouragement
keyword	dragon
keyword	backpack
keyword	darkness
keyword	key
keyword	father son estrangement
keyword	self confidence
keyword	hope
keyword	dumpster
keyword	wind storm
keyword	talking rock
keyword	elementary school
keyword	mythology
keyword	gate
keyword	confusion
keyword	disease
keyword	empowerment
keyword	loss of pet
keyword	monster
keyword	vibration
keyword	breakfast
keyword	horse riding
keyword	sneeze
keyword	late for school
keyword	scientist
keyword	fantasy becomes reality
keyword	sphinx
keyword	talking animal
keyword	foreign language adaptation
keyword	horse
keyword	light
keyword	father son relationship
keyword	echo
keyword	desperation
keyword	wolf
keyword	meteor
keyword	loss of friend
keyword	thunder
keyword	single father
keyword	death ray
keyword	snail
keyword	cult film
keyword	despair
keyword	reality
keyword	postmodernism
keyword	fight
keyword	giant snail
keyword	weather
keyword	story within the story
keyword	mud
keyword	luck
keyword	beast
keyword	journey
keyword	daydream
keyword	explosion
keyword	hiding place
keyword	loss of mother
keyword	bat
keyword	warning
keyword	laser vision
keyword	breaking the fourth wall
keyword	rescue
keyword	wind
keyword	tower
keyword	void
keyword	picture
keyword	sandwich
keyword	mystic
keyword	rockbiter
keyword	yell
keyword	sand
keyword	battle
keyword	naming
keyword	girl
keyword	death of pet
keyword	lightning
keyword	kitchen
keyword	rescue from drowning
keyword	shame
keyword	stop motion animation
keyword	mission
keyword	advice
keyword	gnome
keyword	lateness
keyword	child hero
keyword	book seller
keyword	anger
keyword	wish fulfillment
keyword	illness
keyword	cure
keyword	werewolf
keyword	creature
keyword	death by drowning
keyword	oracle
keyword	sadness
keyword	exhaustion
keyword	fissure
keyword	giant bat
keyword	miniature person
keyword	wish
keyword	alter ego
keyword	allergy
keyword	alley
keyword	frustration
keyword	pleading
keyword	survivor guilt
keyword	swamp
keyword	fairy tale
keyword	chase
keyword	self belief
keyword	lunch
keyword	based on novel
keyword	title spoken by character
cast	Barret Oliver	Bastian
cast	Gerald McRaney	Bastian's Father
cast	Drum Garrett	1st Bully
cast	Darryl Cooksey	2nd Bully
cast	Nicholas Gilbert	3rd Bully
cast	Thomas Hill	Carl Conrad Coreander
cast	Deep Roy	Teeny Weeny
cast	Tilo Prückner	Night Hob
cast	Moses Gunn	Cairon
cast	Noah Hathaway	Atreyu
cast	Alan Oppenheimer	Rockbiter / Falkor / G'mork / Narrator
cast	Sydney Bromley	Engywook
cast	Patricia Hayes	Urgl
cast	Tami Stronach	The Childlike Empress
cast	Beth Anderson	2nd Balladeer
cast	Dee Harris	Balladeers' Lead Guitarist
cast	Frank Lenart	Teeny Weeny
cast	Limahl	Balladeer
cast	Heinz Reincke	Fuchur
cast	Silvia Seidel	Fairy
