year	2000
imdb score	7.1
meta score	63
genre	Action
genre	Drama
genre	War
keyword	british
keyword	french
keyword	revolution
keyword	south carolina
keyword	american revolution
keyword	militia
keyword	soldier
keyword	war hero
keyword	murder
keyword	green dragoons
keyword	revenge
keyword	hero
keyword	battle
keyword	slave
keyword	stabbed in the neck
keyword	historical event
keyword	legislature
keyword	rage
keyword	village
keyword	deafness
keyword	military officer
keyword	arson
keyword	cavalry saber
keyword	axe throwing
keyword	shot in the leg
keyword	war veteran
keyword	infantry
keyword	passion
keyword	shot in the chest
keyword	ship
keyword	tin soldier
keyword	house burning
keyword	loss of wife
keyword	mission
keyword	exploding ship
keyword	guerilla warfare
keyword	child uses a gun
keyword	shot in the arm
keyword	stabbed in the head
keyword	beach
keyword	shot in the hand
keyword	single parent
keyword	cavalry charge
keyword	impersonation
keyword	violence
keyword	pregnancy
keyword	showdown
keyword	child murder
keyword	gun battle
keyword	blood splatter
keyword	1780s
keyword	murderer
keyword	1770s
keyword	flag
keyword	massacre
keyword	hanging
keyword	fire
keyword	crying man
keyword	war violence
keyword	epic
keyword	kiss
keyword	severed leg
keyword	rocking chair
keyword	knife
keyword	colonialism
keyword	martial arts
keyword	shot in the back
keyword	wedding
keyword	man in uniform
keyword	loss of son
keyword	shootout
keyword	necklace
keyword	bullet time
keyword	year 1776
keyword	swordsmanship
keyword	sword
keyword	gunfight
keyword	gore
keyword	knife fight
keyword	gun duel
keyword	gun
keyword	brutality
keyword	loss of family
keyword	last stand
keyword	tears
keyword	stabbed in the throat
keyword	dead children
keyword	action hero
keyword	family relationships
keyword	stabbed in the arm
keyword	freedom
keyword	colonial america
keyword	battlefield
keyword	slow motion scene
keyword	father daughter relationship
keyword	haunted by the past
keyword	loss of brother
keyword	fight to the death
keyword	axe
keyword	musket
keyword	pacifist
keyword	general
keyword	one man army
keyword	patriot
keyword	burned alive
keyword	sword fight
keyword	ambush
keyword	church
keyword	tough guy
keyword	independence
keyword	hand to hand combat
keyword	dead boy
keyword	child fighting adult
keyword	confrontation
keyword	executing the wounded
keyword	vengeance
keyword	friend
keyword	trap
keyword	wound
keyword	gun
keyword	blood
keyword	bullet ballet
keyword	horse
keyword	passionate kiss
keyword	stabbing
keyword	pretending to be dead
keyword	fourth of july
keyword	sadism
keyword	swamp
keyword	sabotage
keyword	decapitation
keyword	wedding reception
keyword	cannon
keyword	axe murder
keyword	suicide
keyword	ruins
keyword	standoff
keyword	dog
keyword	duel
keyword	stabbed in the back
keyword	cavalry
keyword	slow motion violence
keyword	stumpy
keyword	combat
keyword	historically inaccurate
keyword	garden party
keyword	father son relationship
keyword	dark comedy
keyword	mute
keyword	torch
keyword	shot in the shoulder
keyword	tomahawk
keyword	widower
keyword	based on true story
