year	1967
imdb score	7.7
meta score	97
genre	Comedy
genre	Musical
keyword	hitler
keyword	accountant
keyword	broadway
keyword	scam
keyword	theatrical producer
keyword	new york city
keyword	theatre
keyword	security
keyword	typewriter
keyword	chorine
keyword	chauffeur
keyword	gay slur
keyword	breaking the fourth wall
keyword	music band
keyword	stage
keyword	cross dressing
keyword	prison
keyword	sexual fantasy
keyword	broadway flop
keyword	restaurant
keyword	violinist
keyword	attempted murder
keyword	chrysler building manhattan new york city
keyword	senior citizen
keyword	fraud
keyword	blanket
keyword	embezzler
keyword	musical stage production
keyword	medal
keyword	funny nazi
keyword	farce
keyword	hide and seek
keyword	dancer
keyword	singing
keyword	eavesdropping
keyword	dancing
keyword	penitentiary
keyword	hippie
keyword	fountain
keyword	floor safe
keyword	play director
keyword	hard of hearing
keyword	canoeing
keyword	empire state building manhattan new york city
keyword	motorcycle
keyword	swedish
keyword	broadway manhattan new york city
keyword	trial
keyword	friendship between men
keyword	reference to winston churchill
keyword	chorus line
keyword	cheque
keyword	bribery
keyword	applause
keyword	ex convict
keyword	1960s
keyword	casting call
keyword	revenge
keyword	street vendor
keyword	prisoner
keyword	greed
keyword	rowboat
keyword	storm trooper
keyword	flirting
keyword	secretary
keyword	landlady
keyword	horse and carriage
keyword	rehearsal
keyword	gun
keyword	rooftop
keyword	manhattan new york city
keyword	explosion
keyword	swedish sex bomb
keyword	old woman
keyword	actor
keyword	carousel
keyword	testimony
keyword	boating
keyword	jukebox
keyword	music conductor
keyword	destiny
keyword	reference to eva braun
keyword	central park manhattan new york city
keyword	bar
keyword	stage play
keyword	newspaper headline
keyword	contract
keyword	audit
keyword	elevator
keyword	role playing
keyword	director
keyword	nazi
keyword	singer
keyword	german stereotype
keyword	cigar smoking
keyword	gay man
keyword	suicide attempt
keyword	prison guard
keyword	phonograph record
keyword	hot dog stand
keyword	dynamite
keyword	homosexual
keyword	courtroom
keyword	helmet
keyword	hot dog vendor
keyword	dramatic critic
keyword	jury
keyword	record player
keyword	gunshot
keyword	fight
keyword	ticket
keyword	theatre audience
keyword	bikini
keyword	fetish
keyword	pigeon
keyword	hysteria
keyword	photograph
keyword	playwright
keyword	screwball comedy
keyword	toast
keyword	transvestism
keyword	hitler spoof
keyword	costume
keyword	judge
keyword	poster
keyword	swastika
keyword	bartender
keyword	audition
keyword	pistol
keyword	city park
keyword	independent film
keyword	surprise ending
cast	Zero Mostel	Max Bialystock
cast	Gene Wilder	Leo Bloom
cast	Dick Shawn	'L.S.D.' - Lorenzo St. DuBois
cast	Kenneth Mars	Franz Liebkind
cast	Lee Meredith	Ulla
cast	Christopher Hewett	Roger De Bris
cast	Andréas Voutsinas	Carmen Ghia
cast	Estelle Winwood	'Hold Me Touch Me'
cast	Renée Taylor	Eva Braun
cast	David Patch	Goebbels
cast	William Hickey	The Drunk
cast	Barney Martin	Göring
cast	Shimen Ruskin	The Landlord
cast	Frank Campanella	The Bartender
cast	Josip Elic	Violinist
cast	Madelyn Cates	Concierge
cast	John Zoller	Drama Critic
cast	Brutus Peck	Hot Dog Vendor
cast	Anne Ives	Lady
cast	Amelie Barleon	Lady
cast	Lisa Kirk	Lady
cast	Nell Harrison	Lady
cast	Mary Love	Lady
cast	Bernie Allen	Auditioning Hitler
cast	Rusty Blitz	Auditioning Hitler
cast	John Braden	Bar Patron
cast	Mel Brooks	Singer in 'Springtime for Hitler'
cast	Ron Charles	Auditioning Hitler
cast	Mae Crane	Showgirl
cast	Robert Dahdah	Theatre Audience Member
cast	Michael Davis	Production Tenor
cast	Diana Eden	Showgirl
cast	David Evans	Lead Dancer
cast	Anthony Gardell	Auditioning Hitler
cast	Hank Garrett	Stagehand
cast	Linda Gillen	Sax Player
cast	Trent Gough	Auditioning Hitler
cast	Zale Kessler	Jason Green
cast	Mary Loane	Women in Theatre; investor
cast	Bill Macy	Jury Foreman
cast	Lore Noto	Audience Member
cast	Patrick Owens	Theatre Orchestra Pit Conductor
cast	Robert Paget	Auditioning Hitler
cast	Arthur Rubin	Auditioning Hitler
cast	Tucker Smith	Lead Dancer
cast	Clifton Steere	Nazi in Play
cast	Bud Truland	Whiskey Sours Orderer
