year	2008
imdb score	5.9
meta score	44
genre	Horror
genre	Thriller
keyword	cell phone
keyword	ruins
keyword	american
keyword	german
keyword	bow and arrow
keyword	jungle
keyword	corpse
keyword	flower
keyword	mexico
keyword	taxi
keyword	vacation
keyword	greek
keyword	rifle
keyword	group of friends
keyword	child murder
keyword	parasite underneath skin
keyword	beach party
keyword	urination
keyword	shot in the head
keyword	sole survivor
keyword	pretending to be dead
keyword	mercy killing
keyword	vomit
keyword	shot in the shoulder
keyword	torch
keyword	cauterization
keyword	drunkenness
keyword	war card game
keyword	shot to death
keyword	decoy
keyword	tequila
keyword	shot in the leg
keyword	rope broke
keyword	self sacrifice
keyword	broken leg
keyword	map
keyword	covered in blood
keyword	lost earring
keyword	barking dog
keyword	male rear nudity
keyword	bus
keyword	pickup truck
keyword	darkness
keyword	gash in the face
keyword	falling from height
keyword	sleeping on a beach
keyword	card game
keyword	camera
keyword	self mutilation
keyword	bare breasts
keyword	cheating on one's boyfriend
keyword	horse
keyword	dancing
keyword	friendship
keyword	stabbed to death
keyword	broken back
keyword	topless female nudity
keyword	bandage
keyword	oral sex
keyword	shot in the chest
keyword	irrational behavior
keyword	monster
keyword	vine
keyword	archery
keyword	scantily clad female
keyword	paralysis
keyword	tent
keyword	pyramid
keyword	open wound
keyword	beach resort
keyword	bare chested male
keyword	gore
keyword	man eating plant
keyword	white panties
keyword	knife in the chest
keyword	stabbed in the leg
keyword	winch
keyword	salt on the rim
keyword	stabbed in the chest
keyword	amputation
keyword	barefoot
keyword	female rear nudity
keyword	jeep
keyword	binoculars
keyword	running for your life
keyword	panties
keyword	infection
keyword	nipples visible through clothing
keyword	mayan indian
keyword	search for brother
keyword	lantern
keyword	shower
keyword	crying for help
keyword	septicemia
keyword	shot with an arrow
keyword	boyfriend girlfriend relationship
keyword	dirt road
keyword	suffocation
keyword	blonde
keyword	murder
keyword	imitation
keyword	blood
keyword	baseball cap worn backwards
keyword	held at gunpoint
keyword	archeological dig
keyword	unsubtitled foreign language
keyword	blood spatter
keyword	killer plant
keyword	food rationing
keyword	chase
keyword	severed leg
keyword	speaking unknown language
keyword	medical student
keyword	scream
keyword	desperation
keyword	margarita
keyword	bikini
keyword	pistol
keyword	bottled water
keyword	pool party
keyword	survival
keyword	death of boyfriend
keyword	field surgery
keyword	guilt
keyword	death of friend
keyword	death of child
keyword	based on novel
keyword	title spoken by character
keyword	surprise ending
keyword	
cast	Jonathan Tucker	Jeff
cast	Jena Malone	Amy
cast	Laura Ramsey	Stacy
cast	Shawn Ashmore	Eric
cast	Joe Anderson	Mathias
cast	Sergio Calderón	Lead Mayan
cast	Jesse Ramirez	Mayan Bowman
cast	Balder Moreno	Mayan Horseman
cast	Dimitri Baveas	Dimitri
cast	Patricio Almeida Rodriguez	Taxi Driver
cast	Mario Jurado	Mayan Archer
cast	Luis Antonio Ramos	Mayan Rifleman
cast	Walter Quispe	Mayan Rifleman
cast	Pauline Whyman	Wailing Woman
cast	Nathan Vega	Mayan Boy
cast	Tanisha Marquez-Munduate	Mayan Girl
cast	Chris Argirousis	Greek
cast	Alexander Gregory	Greek
cast	Michelle Atkinson	Archeologist
cast	Bar Paly	Archeologist
cast	Jordan Patrick Smith	Heinrich
cast	Jovina Riveros Padilla	Mayan Woman
cast	Lucia Caballero	Mayan Woman
cast	Rufino Hernandez	Mayan Guard
cast	Carlos Enrique Delgado	Mayan Guard
cast	Mario Freire Rivera	Mayan Guard
cast	Elmer Alaya	Mayan Guard
cast	Jesus Tugumbango	Mayan Guard
cast	Karen Strassman	Additional Vine Vocal
cast	Andy Meritakis	Mayan Boy #2
cast	Vivica Mitra	Lady at the Pool
cast	Robert Munns	Groundskeeper
