logline	A boy who communicates with spirits that don't know they're dead seeks the help of a disheartened child psychologist.
tagline	"I see dead people"
tagline	1...Sight 2...Sound 3...Smell 4...Taste 5..Touch 6...The Sixth Sense
tagline	Not every gift is a blessing.
tagline	Discover the secret of 'The Sixth Sense'!
tagline	There are ghosts walking among us, looking for help... They have found it.
tagline	Do you Believe Now?
tagline	Can You Keep the Secret?
tagline	Now you believe in ghosts
tagline	America's #1 Movie Four Weeks In A Row!
tagline	The #1 Thriller of all time!
