year	1972
imdb score	6.9
meta score	N/A
genre	Horror
genre	Sci-Fi
keyword	science versus supernatural
keyword	supernatural
cast	Michael Bryant	Peter Brock
cast	Jane Asher	Jill Greeley
cast	Iain Cuthbertson	Roy Collinson
cast	Michael Bates	Eddie Holmes
cast	Reginald Marsh	Crawshaw
cast	Tom Chadbon	Hargrave
cast	John Forgeham	Maudsley
cast	Philip Trewinnard	Stewart Jessop
cast	James Cosmo	Cliff Dow
cast	Neil Wilson	Sergeant Paterson
cast	Christopher Banks	Vicar
cast	Michael Graham Cox	Alan
cast	Hilda Fenemore	Bar helper
cast	Peggy Marshall	Bar lady
