year	1999
imdb score	7.3
meta score	76
genre	Crime
genre	Drama
genre	Music
genre	Thriller
keyword	italy
keyword	1950s
keyword	playboy
keyword	piano
keyword	forgery
keyword	luxury
keyword	love
keyword	psychopath
keyword	grand piano
keyword	police
keyword	assumed identity
keyword	rich snob
keyword	typewriter
keyword	impersonation
keyword	psychotic
keyword	private detective
keyword	joy
keyword	naples italy
keyword	identity
keyword	jazz music
keyword	falsified document
keyword	passport
keyword	killing
keyword	death
keyword	affection
keyword	crying
keyword	premarital sex
keyword	mirror
keyword	threesome
keyword	false identity
keyword	sex in yacht
keyword	kiss
keyword	bitterness
keyword	male nudity
keyword	boyfriend girlfriend relationship
keyword	bikini girl
keyword	writer
keyword	flashback
keyword	rage
keyword	yacht
keyword	stairs
keyword	impulsiveness
keyword	dangerous friend
keyword	suspicion
keyword	love triangle
keyword	sunglasses
keyword	dress
keyword	anger
keyword	serial killer
keyword	vespa
keyword	shipping tycoon
keyword	hidden
keyword	tycoon
keyword	wrath
keyword	cafe
keyword	bisexuality
keyword	bathtub
keyword	loss of control
keyword	bisexual
keyword	intrigue
keyword	palermo italy
keyword	male frontal nudity
keyword	disappearance
keyword	smiling
keyword	out of control
keyword	kill
keyword	bikini
keyword	impostor
keyword	self hatred
keyword	friendship
keyword	surprise
keyword	rejection
keyword	wastrel
keyword	male rear nudity
keyword	upper class
keyword	investigator
keyword	mistaken identity
keyword	san remo italy
keyword	homosexual
keyword	classical music
keyword	bath
keyword	reference to michelangelo
keyword	man with glasses
keyword	father son relationship
keyword	guilt
keyword	bank account
keyword	hit on the head
keyword	blood
keyword	strangulation
keyword	ruse
keyword	ocean
keyword	high life
keyword	class differences
keyword	shirt
keyword	forged signature
keyword	industrialist
keyword	corduroy jacket
keyword	oar
keyword	psychopathic killer
keyword	false name
keyword	deception
keyword	american express
keyword	opera
keyword	venice italy
keyword	bisexual man
keyword	saxophone
keyword	imitation
keyword	obsession
keyword	envy
keyword	aristocrat
keyword	killer
keyword	homicide
keyword	lie
keyword	boat
keyword	laughing
keyword	expatriate
keyword	sociopath
keyword	shopping spree
keyword	rome italy
keyword	money
keyword	carabinieri
keyword	nudity
keyword	liar
keyword	sea
keyword	cheating on one's girlfriend
keyword	beaten to death
keyword	bourgeoisie
keyword	jazz club
keyword	trousers
keyword	investigation
keyword	underdog
keyword	american abroad
keyword	tension
keyword	murder
keyword	beach
keyword	mimic
keyword	singing
keyword	neo noir
keyword	violence
keyword	pregnancy
keyword	friend
keyword	brutality
keyword	suicide
keyword	sadness
keyword	sex reference
keyword	based on book
keyword	based on novel
keyword	character name in title
cast	Matt Damon	Tom Ripley
cast	Gwyneth Paltrow	Marge Sherwood
cast	Jude Law	Dickie Greenleaf
cast	Cate Blanchett	Meredith Logue
cast	Philip Seymour Hoffman	Freddie Miles
cast	Jack Davenport	Peter Smith-Kingsley
cast	James Rebhorn	Herbert Greenleaf
cast	Sergio Rubini	Inspector Roverini
cast	Philip Baker Hall	Alvin MacCarron
cast	Celia Weston	Aunt Joan
cast	Fiorello	Fausto
cast	Stefania Rocca	Silvana
cast	Ivano Marescotti	Colonnello Verrecchia
cast	Anna Longhi	Signora Buffi
cast	Alessandro Fabrizi	Sergeant Baggio
cast	Lisa Eichhorn	Emily Greenleaf
cast	Gretchen Egolf	Fran
cast	Jack Willis	Greenleaf Chaffeur
cast	Frederick Alexander Bosche	Fran's Boyfriend
cast	Dario Bergesio	Police Officer
cast	Larry Kaplan	Uncle Ted
cast	Claire Hardwick	Gucci Assistant
cast	Antonio Prester	American Express Clerk
cast	Lorenzo Mancuso	Bus Driver
cast	Onofrio Mancuso	Priest
cast	Massimo Reale	Immigration Officer
cast	Emanuele Carucci Viterbi	American Express Clerk
cast	Caterina Deregibus	Dahlia
cast	Silvana Bosi	Ermelinda
cast	Gianfranco Barra	Desk Manager Aldo
cast	Renato Scarpa	Tailor
cast	Deirdre Lovejoy	Fighting Neighbor
cast	Brian Tarantina	Fighting Neighbor
cast	Guy Barker	Trumpet
cast	Bernardo Sassetti	Piano
cast	Perico Sambeat	Alto Sax
cast	Gene Calderazzo	Drums
cast	Joseph Lepore	Double Bass
cast	Rosario Giuliuni	Tenor Sax
cast	Eddy Palerno	Electric Guitar
cast	Byron Wallen	Cornet
cast	Pete King	Alto Sax
cast	Clark Tracey	Drums
cast	Jean Toussaint	Tenor Sax
cast	Geoff Gascoyne	Bass
cast	Carlo Negroni	Piano
cast	Beppe Fiorello	Silvana's Fiancé
cast	Marco Quaglia	Silvana's Brother
cast	Alessandra Vanzi	Silvana's Mother
cast	Marco Rossi	Photographer
cast	Roberto Valentini	Onegin
cast	Francesco Bovino	Lensky
cast	Stefano Canettieri	Zaretsky
cast	Marco Foti	Guillot
cast	Ludovica Tinghi	Fausto's Fiancée
cast	Nicola Pannelli	Dinelli's Cafe Waiter
cast	Paolo Calabresi	Customs Officer
cast	Pietro Ragusa	Record Store Owner
cast	Simone Empler	Boy Singer
cast	Gianluca Secci	Policeman
cast	Manuel Ruffini	Policeman
cast	Pierpaolo Lovino	Policeman
cast	Roberto Di Palma	San Remo Hotel Desk Clerk
cast	Cesare Cremonini	Boat Salesman
cast	Fabrizia Dal Farra	Italian Girl
cast	Luca Foggiano	Massimo
cast	Kent Gregory	Dockworker #2
cast	Frank Slaten	Dockworker #1
