year	1951
imdb score	7.3
meta score	N/A
genre	Horror
genre	Sci-Fi
keyword	captain
keyword	creature
keyword	arctic
keyword	scientist
keyword	spacecraft
keyword	outpost
keyword	pilot
keyword	bomb
keyword	alien
keyword	ice
keyword	general
keyword	arm
keyword	flying saucer
keyword	arctic expedition
keyword	anchorage alaska
keyword	vegetable
keyword	blood
keyword	monster
keyword	dog
keyword	frying
keyword	key
keyword	bandage
keyword	typewriter
keyword	person on fire
keyword	reference to the pony express
keyword	hand grenade
keyword	stove
keyword	electric blanket
keyword	card playing
keyword	electrocution
keyword	gun
keyword	vegetable man
keyword	balding man
keyword	memory
keyword	barrel
keyword	air crew
keyword	camera
keyword	fire
keyword	u.s. constitution
keyword	freedom of the press
keyword	mars the planet
keyword	reference to el alemein
keyword	radioactivity
keyword	dead dog
keyword	bad breath
keyword	washington d.c.
keyword	frostbite
keyword	kerosene
keyword	interspecies communicatrion
keyword	microscope
keyword	shooting
keyword	whistling
keyword	gardening
keyword	barricade
keyword	death of title character
keyword	flashlight
keyword	keeping watch
keyword	arm wound
keyword	boiling
keyword	professor
keyword	meteor
keyword	stranger in a strange land
keyword	drink thrown into someone's face
keyword	drinking
keyword	u.s. soldier
keyword	reading
keyword	cold
keyword	supernatural power
keyword	shooting through a door
keyword	fire extinguisher
keyword	baking
keyword	encased in ice
keyword	electric arc
keyword	rope
keyword	disembodied hand
keyword	broken collarbone
keyword	refuge
keyword	food
keyword	isotope
keyword	coffee
keyword	dog sled
keyword	reference to the parting of the red sea
keyword	walkway
keyword	extraterrestrial
keyword	wound
keyword	gambling
keyword	melting ice
keyword	dining hall
keyword	close encounter of the third kind
keyword	greenhouse
keyword	airplane
keyword	carnivorous plant
keyword	boots
keyword	regeneration
keyword	murder
keyword	dog team
keyword	rifle
keyword	theremin
keyword	geiger counter
keyword	creature feature
keyword	octopus
keyword	pipe smoking
keyword	salad
keyword	stethoscope
keyword	oil drum
keyword	botanist
keyword	cult film
keyword	scientist doesn't want alien killed
keyword	cross country skiing
keyword	wind
keyword	snow shoes
keyword	reference to buchenwald
keyword	fluid drained from a body
keyword	playful torture
keyword	co pilot
keyword	death
keyword	snowstorm
keyword	mortar
keyword	flora
keyword	u.s. congress
keyword	north pole
keyword	kiss
keyword	uranium
keyword	meat cleaver
keyword	blood plasma
keyword	explosion
keyword	radio communications
keyword	seedpod
keyword	compass
keyword	severed finger
keyword	reporter
keyword	reference to noah
keyword	sled dog
keyword	pick axe
keyword	fear
keyword	mess hall
keyword	romantic subplot
keyword	note
keyword	ufo
keyword	horror movie remade
keyword	newspaper reporter
keyword	high voltage
keyword	flash camera
keyword	intercom
keyword	carrot
keyword	flame thrower
keyword	splitting the atom
keyword	severed arm
keyword	snow
keyword	isolation
keyword	metallic alloy
keyword	rubber boots
keyword	laboratory
keyword	reference to gary cooper
keyword	hammer
keyword	breaking a window
keyword	century plant
keyword	axe
keyword	fainting
keyword	physicist
keyword	door lock
keyword	alien contact
keyword	u.s. air force
keyword	reference to honolulu hawaii
keyword	fatigue
keyword	post world war two
keyword	fluidless body
keyword	reference to admiral matthew c. perry
keyword	corrigated iron
keyword	electric generator
keyword	marriage proposal
keyword	man from mars
keyword	shaving
keyword	drink
keyword	seattle washington
keyword	aircraft
keyword	germ
keyword	electric razor
keyword	magnetism
keyword	reference to okinawa
keyword	warning
keyword	science
keyword	parka
keyword	blueberry muffin
keyword	seat belt
keyword	dying
keyword	reference to harry s truman
keyword	editor
keyword	tied up
keyword	airplane cockpit
keyword	injury
keyword	secretary of state
keyword	snowing
keyword	electricity
keyword	visible breath
keyword	cigarette smoking
keyword	husky dog
keyword	killing a dog
cast	Margaret Sheridan	Nikki
cast	Kenneth Tobey	Captain Patrick Hendry
cast	Robert Cornthwaite	Dr. Arthur Carrington
cast	Douglas Spencer	Scotty
cast	James Young	Lt. Eddie Dykes
cast	Dewey Martin	Crew Chief Bob
cast	Robert Nichols	Lt. Ken 'Mac' MacPherson
cast	William Self	Corporal Barnes
cast	Eduard Franz	Dr. Stern
cast	Sally Creighton	Mrs. Chapman
cast	James Arness	'The Thing'
cast	Robert Bray	Captain
cast	Ted Cooper	Lieutenant
cast	Milton Kibbee	Bit Part
cast	Ray McDonald	Bit Part
cast	Edgar Murray	Bit Part
cast	H.B. Newton	Bit Part
cast	Carmen Nisbet	Bit Part
cast	William J. O'Brien	Bit Part
cast	Jimmy Ogg	Bit Part
cast	Allan Ray	Officer
cast	Cap Somers	Bit Part
cast	Lucille Thompson	Bit Part
cast	Edmund Breon	Dr. Ambrose
cast	Nicholas Byron	Tex Richards
cast	John Dierkes	Dr. Chapman
cast	George Fenneman	Dr. Redding
cast	Lee Tung Foo	Lee, a Cook
cast	Paul Frees	Dr. Vorhees
cast	Ben Frommer	Minor Role
cast	Everett Glass	Dr. Wilson
cast	Tom Humphries	Minor Role
cast	King Kong	Eskimo
cast	David McMahon	Brig. Gen. Fogarty
cast	Bill Neff	Bill Stone
cast	Walter Ng	Second Cook
cast	Charles Opunui	Eskimo
cast	Norbert Schiller	Dr. Laurence
cast	Robert Stevenson	Capt. Smith - Fogarty's Aide
cast	Riley Sunrise	Eskimo
