year	2010
imdb score	6.0
meta score	37
genre	Action
genre	Romance
genre	Thriller
keyword	mobster
keyword	tourist
keyword	train
keyword	american tourist
keyword	scotland yard
keyword	russian
keyword	thug
keyword	hotel
keyword	money
keyword	letter
keyword	paris france
keyword	camera
keyword	telephoto lens
keyword	chase on the roof
keyword	sniper rifle
keyword	bicycling
keyword	teacher
keyword	foot chase
keyword	comeuppance
keyword	organized crime
keyword	stealing from a criminal
keyword	hotel suite
keyword	cafe
keyword	tailor
keyword	sailboat
keyword	englishman abroad
keyword	pistol
keyword	playing cards
keyword	held at gunpoint
keyword	casino
keyword	boat chase
keyword	corrupt cop
keyword	police surveillance
keyword	sidewalk cafe
keyword	back taxes
keyword	mistaken identity
keyword	hitman
keyword	threatened with a knife
keyword	russian gang
keyword	boat ride
keyword	undercover agent
keyword	police arrest
keyword	rooftop
keyword	gambling
keyword	shot through a window
keyword	macguffin
keyword	remake of french film
keyword	shot in the back
keyword	burning a document
keyword	prison cell
keyword	dreaming
keyword	being followed
keyword	surveillance
keyword	femme fatale
keyword	formal dance
keyword	misunderstanding
keyword	london england
keyword	investigation
keyword	safe
keyword	american abroad
keyword	russian mafia
keyword	climbing through a window
keyword	french
keyword	canal
keyword	charm bracelet
keyword	undercover operation
keyword	fool
keyword	arrest
keyword	strangler
keyword	photograph
keyword	new identity
keyword	deception
keyword	zippo lighter
keyword	police officer
keyword	room service
keyword	hotel danieli
keyword	courier
keyword	gondola
keyword	subway
keyword	jumping from height
keyword	knife
keyword	first kiss
keyword	falling into water
keyword	interpreter
keyword	gorilla
keyword	choke to death
keyword	walkie talkie
keyword	dining car
keyword	assassination attempt
keyword	ballroom
keyword	grabbed by the hair
keyword	cell phone
keyword	police inspector
keyword	private plane
keyword	electronic cigarette
keyword	crime boss
keyword	train ride
keyword	ballroom dancing
keyword	hitting a woman
keyword	passport
keyword	binoculars
keyword	interpol
keyword	bicycle courier
keyword	automatic weapon
keyword	strangulation
keyword	fake identity
keyword	fruit stand
keyword	cheque
keyword	picking lock
keyword	police station
keyword	jumping from a rooftop
keyword	mob boss
keyword	subtitled scene
keyword	digital camera
keyword	computer
keyword	no opening credits
keyword	surveillance van
keyword	party
keyword	airliner
keyword	hidden microphone
keyword	gangster
keyword	mafia boss
keyword	botox
keyword	government agency
keyword	explosion
keyword	silencer
keyword	incognito
keyword	airport
keyword	dancing
keyword	burning a letter
keyword	passionate kiss
keyword	firearm
keyword	italian
keyword	fake accent
keyword	foreign language adaptation
keyword	pushed into water
keyword	running across a roof
keyword	observation
keyword	assassin
keyword	secret agent
keyword	russophobia
keyword	invitation
keyword	dream
keyword	double cross
keyword	gun held to head
keyword	no title at beginning
keyword	shot through a door
keyword	englishwoman abroad
keyword	kiss
keyword	reference to honore de balzac
keyword	murder
keyword	venice italy
keyword	train station
keyword	female spy
keyword	computer search
keyword	wall safe
keyword	boat crash
keyword	two word title
keyword	sniper
keyword	plastic surgery
keyword	chase on foot
keyword	cigarette smoking
keyword	handcuffs
keyword	henchman
keyword	face slap
keyword	gang
keyword	stolen money
keyword	train journey
keyword	luxury hotel
keyword	train travel
keyword	female agent
keyword	corporate jet
keyword	tailing a suspect
keyword	undercover
keyword	reference to marcel proust
keyword	goatee
keyword	music band
keyword	
cast	Johnny Depp	Frank Tupelo
cast	Angelina Jolie	Elise Clifton-Ward
cast	Paul Bettany	Inspector John Acheson
cast	Timothy Dalton	Chief Inspector Jones
cast	Steven Berkoff	Reginald Shaw
cast	Rufus Sewell	The Englishman
cast	Christian De Sica	Colonnello Lombardi
cast	Alessio Boni	Sergente Cerato
cast	Daniele Pecci	Tenente Narduzzi
cast	Giovanni Guidelli	Tenente Tommassini
cast	Raoul Bova	Conte Filippo Gaggia
cast	Bruno Wolkowitch	Capitaine Courson
cast	Marc Ruchmann	Brigadier Kaiser
cast	Julien Baumgartner	Brigadier Ricuort
cast	François Vincentelli	Brigadier Marion
cast	Clément Sibony	Brigadier Rousseau
cast	Jean-Claude Adelin	Brigadier Cavillan
cast	Jean-Marie Lamour	Cafe Waiter Jean-Michel
cast	Nicolas Guillot	Cafe Head Waiter Jérôme
cast	Mhamed Arezki	Courier Achmed Tchebali
cast	Igor Jijikine	Virginsky
cast	Vladimir Orlov	Lebyadkin
cast	Vladimir Tevlovski	Liputin
cast	Alec Utgoff	Fedka
cast	Mark Zak	Shigalyov
cast	Neri Marcorè	Hotel Concierge Alessio
cast	Gabriele Gallinari	Hotel Bell Boy Luca
cast	Riccardo De Torrebruna	Hotel Waiter Guido
cast	Maurizio Casagrande	Waiter Antonio
cast	Nino Frassica	Brigadiere Mele
cast	Gwilym Lee	Senior Technician Mountain
cast	Steven Robertson	Junior Technician Pinnock
cast	Iddo Goldberg	Jones' Assistant Whitfield
cast	Renato Scarpa	Arturo the Tailor
cast	Giancarlo Previati	Gala Coordinator Dalla Pietà
cast	Giovanni Esposito	Interpreter Coppa
cast	Marino Narduzzi	Elise's Driver Stefano
cast	Tino Giada	Elise's Driver Mauro
cast	Bruno Bilotta	Sniper Chief Giordani
cast	Ralf Moeller	Jail Bird Lunt
cast	Roberta Mastromichele	Dancer at Gala
cast	Irma Di Paola	Dancer at Gala
cast	Massimiliano Belsito	Dancer at Gala
cast	Francesca Nerozzi	Dancer at Gala
cast	Davide Cipolleschi	Dancer at Gala
cast	Francesco De Simone	Dancer at Gala
cast	Salvatore Dello Iacono	Dancer at Gala
cast	Antonio Fiore	Dancer at Gala
cast	Simone Sparaciari	Dancer at Gala
cast	Romina Carancini	Dancer at Gala
cast	Maria Teresa Corsi	Dancer at Gala
cast	Dalila Frassanito	Dancer at Gala
cast	Manuela Guastalli	Dancer at Gala
cast	Damiano Bisozzi	Dancer at Gala
cast	Jennifer Iacono	Dancer at Gala
cast	Claudia Mancinelli	Dancer at Gala
cast	Etienne Cacciari	Dancer at Gala
cast	Gianluca Frezzato	Dancer at Gala
cast	Laria Cavola	Dancer at Gala
cast	Brooke Antonello	Dancer at Gala
cast	Kim Fasano	Dancer at Gala
cast	Jonathan Redavid	Dancer at Gala
cast	Marcello Sacchetta	Dancer at Gala
cast	Karin Dal Pezzo	Dancer at Gala
cast	Martina Fanton	Dancer at Gala
cast	Silvia Omiciuolo	Dancer at Gala
cast	Anoushka Ravanshad	Woman in the Cafe
