year	2009
imdb score	7.8
meta score	82
genre	Drama
genre	Mystery
keyword	children
keyword	baron
keyword	village
keyword	accident
keyword	horse
keyword	wire
keyword	teacher
keyword	abuse
keyword	nanny
keyword	mysterious event
keyword	death
keyword	midwife
keyword	pastor
keyword	small village
keyword	cruelty
keyword	punishment
keyword	doctor
keyword	school child
keyword	burning barn
keyword	child in peril
keyword	thanksgiving
keyword	fire
keyword	girl
keyword	beating with a cane
keyword	violence against a child
keyword	small town
keyword	darkness
keyword	protestant ethic
keyword	school teacher
keyword	dead bird
keyword	resentment
keyword	cabbage
keyword	falling from height
keyword	death of wife
keyword	psalm 145 verse 15
keyword	suppressed hostility
keyword	vegetable
keyword	eavesdropping
keyword	scythe
keyword	blame
keyword	twin
keyword	policeman
keyword	party
keyword	paternoster
keyword	belief in god
keyword	teenager
keyword	farmer
keyword	horse whip
keyword	year 1914
keyword	sadism
keyword	boy
keyword	dead man
keyword	suspicion
keyword	discipline
keyword	pianist
keyword	dance
keyword	ribbon
keyword	nurse
keyword	abundance of children
keyword	crying
keyword	estate
keyword	disappearance
keyword	revenge
keyword	eating
keyword	east elbia
keyword	caning
keyword	winter
keyword	1910s
keyword	corporal punishment
keyword	reformation day
keyword	naked corpse
keyword	breast feeding
keyword	authority
keyword	marriage crisis
keyword	trout
keyword	torture of a child
keyword	fishing
keyword	schoolboy
keyword	god fearing
keyword	one room schoolhouse
keyword	man slaps woman
keyword	tossing rocks at a window
keyword	horse drawn carriage
keyword	priest
keyword	divinity class
keyword	pulled by the ear
keyword	family dinner
keyword	borrowing a bicycle
keyword	pince nez
keyword	christmas
keyword	landowner
keyword	envy
keyword	birch tree
keyword	nightgown
keyword	crime against a child
keyword	killing a bird
keyword	fatal accident
keyword	older man younger woman relationship
keyword	dead wife
keyword	underwear
keyword	prayer
keyword	dream comes true
keyword	intimidation
keyword	teenage girl
keyword	agriculture
keyword	humiliation
keyword	protestant
keyword	coffee
keyword	trip wire
keyword	organist
keyword	female nudity
keyword	dead horse
keyword	child torture
keyword	nudity
keyword	bird cage
keyword	declaration of war
keyword	sadness
keyword	schoolgirl
keyword	verbal abuse
keyword	children's conspiracy
keyword	riding accident
keyword	suicide by hanging
keyword	classroom
keyword	horse and carriage
keyword	suicide of father
keyword	jealousy
keyword	piano
keyword	virgin
keyword	barn on fire
keyword	kicking someone
keyword	falling off horse
keyword	whip
keyword	organ the musical instrument
keyword	fiancé fiancée relationship
keyword	masturbation
keyword	trust
keyword	child abuse
keyword	wheat field
keyword	farm hand
keyword	religious education
keyword	teenage boy
keyword	arson
keyword	clergyman
keyword	flute
keyword	glasses
keyword	reference to frederick the great
keyword	illegitimate child
keyword	arm sling
keyword	custom
keyword	blood
keyword	steward
