year	1939
imdb score	8.2
meta score	100
genre	Adventure
genre	Family
genre	Fantasy
genre	Musical
keyword	dog
keyword	wizard
keyword	witch
keyword	home
keyword	heart
keyword	cyclone
keyword	courage
keyword	brain
keyword	tornado
keyword	quest
keyword	kansas
keyword	tin man
keyword	scarecrow
keyword	lion
keyword	farm
keyword	disguise
keyword	talking animal
keyword	forest
keyword	critically acclaimed
keyword	axe
keyword	flower
keyword	fire
keyword	child in peril
keyword	villainess
keyword	award
keyword	crushed to death
keyword	rich snob
keyword	innocence
keyword	snow
keyword	crow
keyword	melting woman
keyword	remake
keyword	slipper
keyword	broom
keyword	farmhouse
keyword	person on fire
keyword	sepia
keyword	coroner
keyword	homesickness
keyword	1900s
keyword	black & white to color
keyword	bubble
keyword	secret
keyword	19th century
keyword	hiding behind a curtain
keyword	character melts
keyword	singing
keyword	song
keyword	actor playing multiple roles
keyword	fortune teller
keyword	lifting someone into the air
keyword	narcotic sleep
keyword	deus ex machina
keyword	omaha nebraska
keyword	crossroads
keyword	guilt
keyword	famous line
keyword	tree
keyword	flying monkey
keyword	home sweet home
keyword	anthropomorphic scarecrow
keyword	magic shoe
keyword	hot dog
keyword	gone in a puff of smoke
keyword	diploma
keyword	allegory
keyword	animal attack
keyword	dwarf
keyword	secret identity
keyword	falling from height
keyword	heroine
keyword	castle
keyword	skywriting
keyword	unconsciousness
keyword	village
keyword	abduction
keyword	female protagonist
keyword	it was all a dream
keyword	flying house
keyword	woodsman
keyword	alternate universe
keyword	wind storm
keyword	black and white segues into color
keyword	runaway
keyword	witchcraft
keyword	death certificate
keyword	impostor
keyword	fainting
keyword	uncle niece relationship
keyword	bicycle
keyword	lifting a female into the air
keyword	20th century
keyword	famous score
keyword	singer
keyword	ensemble cast
keyword	evil witch
keyword	levitation
keyword	apple tree
keyword	chandelier
keyword	aunt niece relationship
keyword	dungeon
keyword	husband wife relationship
keyword	fantasy world
keyword	animal in cast credits
keyword	cornfield
keyword	bechdel test passed
keyword	turn of the century
keyword	compassion
keyword	broomstick
keyword	magic
keyword	floating head
keyword	medal
keyword	oil can
keyword	hot air balloon
keyword	farm hand
keyword	1890s
