year	2004
imdb score	7.3
meta score	72
genre	Drama
keyword	prison
keyword	lumberyard
keyword	job
keyword	apartment
keyword	child molester
keyword	gossip
keyword	sex offender
keyword	elementary school
keyword	probation
keyword	park
keyword	sex
keyword	police
keyword	hometown
keyword	basketball
keyword	fingerprint
keyword	mistreatment
keyword	sitting on lap
keyword	child abuse
keyword	sodomy
keyword	freeze frame
keyword	uncle niece relationship
keyword	parole officer
keyword	woodsman
keyword	female nudity
keyword	ex convict
keyword	sergeant
keyword	watching tv
keyword	sadness
keyword	escalator
keyword	school child
keyword	pickup truck
keyword	tattoo
keyword	fingerprinting
keyword	flash forward
keyword	smelling hair
keyword	word association
keyword	curfew
keyword	kiss
keyword	violence
keyword	dyke
keyword	women's bathroom
keyword	father son relationship
keyword	policeman
keyword	breasts
keyword	probationer
keyword	reference to david letterman
keyword	bird
keyword	ex con
keyword	title directed by female
keyword	peep hole
keyword	bar
keyword	voice over
keyword	secret
keyword	car
keyword	factory worker
keyword	redemption
keyword	secret past
keyword	birthday party
keyword	bus
keyword	food
keyword	writing
keyword	anger
keyword	nest
keyword	van
keyword	shopping mall
keyword	nightmare
keyword	father daughter relationship
keyword	drinking
keyword	brother in law brother in law relationship
keyword	locker
keyword	binoculars
keyword	man boy love
keyword	sexual harassment
keyword	baseball on tv
keyword	plant
keyword	second chance
keyword	handwriting
keyword	paranoia
keyword	harassment
keyword	crying
keyword	carpenter
keyword	underwear
keyword	flashback
keyword	damaged goods
keyword	t shirt
keyword	boyfriend girlfriend relationship
keyword	witness
keyword	menace
keyword	male rear nudity
keyword	nap
keyword	sarcasm
keyword	incest
keyword	brother sister relationship
keyword	pedophile
keyword	merry go round
keyword	police sergeant
keyword	police surveillance
keyword	table saw
keyword	starting over
keyword	family relationships
keyword	children
keyword	chicken salad
keyword	river
keyword	hostility
keyword	tears
keyword	dark past
keyword	therapist
keyword	cigar smoking
keyword	bare breasts
keyword	power saw
keyword	wrath
keyword	napkin trick
keyword	mother daughter relationship
keyword	irony
keyword	dream
keyword	little girl
keyword	male nudity
keyword	controversy
keyword	fight with self
keyword	warehouse
keyword	little red riding hood
keyword	therapy
keyword	threat
keyword	disturbed individual
keyword	starling
keyword	normalcy
keyword	arrest
keyword	revelation
keyword	cherub
keyword	employer employee relationship
keyword	schoolyard
keyword	adultery
keyword	kissing
keyword	parole
keyword	pedophile witchhunt
keyword	co worker
keyword	playing pool
keyword	creek
keyword	alone
keyword	loneliness
keyword	beer
keyword	sexual predator
keyword	pool hall
keyword	suspicion
keyword	spitting
keyword	pedophilia
keyword	drink
keyword	candy
keyword	geese
keyword	computer
keyword	shower
keyword	dark secret
keyword	suffering
keyword	goggles
keyword	panties
keyword	factory
keyword	ball
keyword	friend
keyword	scratching
keyword	unfaithfulness
keyword	banishment
keyword	boss
keyword	rumor
keyword	affection
keyword	disease
keyword	bird watching
keyword	torment
keyword	birthday
keyword	circular saw
keyword	caress
keyword	secretary
keyword	journal
keyword	philadelphia pennsylvania
keyword	rejection
keyword	tearing up notebook
keyword	fight
keyword	cigarette smoking
keyword	probation officer
keyword	masturbation
keyword	friendship
keyword	beating
keyword	wolf
keyword	mirror
keyword	infidelity
keyword	nudity
keyword	ornithologist
keyword	forklift
keyword	love
keyword	sexual abuse
keyword	rain
keyword	diary
keyword	rage
keyword	insult
keyword	following someone
keyword	extramarital affair
keyword	sandwich
keyword	schoolgirl
keyword	grade school
keyword	based on play
keyword	title spoken by character
cast	Kevin Bacon	Walter
cast	David Alan Grier	Bob
cast	Eve	Mary-Kay
cast	Kyra Sedgwick	Vicki
cast	Benjamin Bratt	Carlos
cast	Carlos Leon	Pedro
cast	Michael Shannon	Rosen
cast	Kevin Rice	Candy
cast	Mos Def	Sgt. Lucas
cast	Hannah Pilkes	Robin
cast	Jessica Nagle	Annette
cast	Liam Daniels	Boy at Playground
cast	Joey Hazinsky	Cherub
cast	Clara Hopkins Daniels	Little Girl on Bus
cast	Ashley C. Coombs	Girl on Bus
cast	Floriane Miniscloux	Girl in Mall
cast	Aunt Dot	Saleswoman
cast	Spencer Ross	Sportscaster
cast	Nicole Gibson	Girl with Red Ball
cast	Van Cameron	Lumber Yard Worker
cast	Colleen Dengel	School Girl
cast	Suzanne Dengel	School Girl
cast	Laura Holloway	Waitress
cast	Paul Majors	Lumber Yard Worker
cast	Bobby Prochaska	Clerk
cast	David C. Roehm Sr.	Older Barfly
