logline	Mulder and Scully must fight the government in a conspiracy and find the truth about an alien colonization of Earth.
tagline	Fight the Future
tagline	Take Your Greatest Fear And Multiply It By X
tagline	Fight
tagline	Future
tagline	Discover the past, live the present, fight the future.
tagline	Cherish the past. Enjoy the present. Because the truth is coming. Fight the future.
tagline	The Truth Is Revealed
tagline	Take your greatest fear... your most paranoid suspicion... and your darkest nightmare... and multiply it-by X!
tagline	Trust in no one Mr Mulder.
tagline	One man alone can not Fight the Future.
tagline	The Truth is something you're never guess, never have predicted.
