year	2012
imdb score	6.2
meta score	59
genre	Comedy
keyword	40th birthday
keyword	birthday
keyword	touching breast
keyword	singing in a car
keyword	reference to van halen
keyword	reference to justin bieber
keyword	little black dress
keyword	woman wearing a string bikini
keyword	reference to facebook
keyword	cartoon on tv
keyword	prostate exam
keyword	man wearing tidy whities
keyword	fellatio
keyword	40 year old
keyword	panties
keyword	iphone 4
keyword	woman in lingerie
keyword	husband wife relationship
keyword	ipad
keyword	woman changing clothes
keyword	family relationships
keyword	written by director
keyword	hdtv
keyword	mammography
keyword	reference to david bowie
keyword	physical exam
keyword	reference to jj abrams
keyword	claim in title
keyword	sex
keyword	viagra
keyword	sex in a shower
keyword	colonoscopy
keyword	three word title
keyword	reference to keith richards
keyword	real life mother and daughter playing mother and daughter
keyword	reference to mick jagger
keyword	year 1974
keyword	blowing out candles on a birthday cake
keyword	gynecological exam
keyword	spin off
keyword	number in title
keyword	actor shares first name with character
cast	Paul Rudd	Pete
cast	Leslie Mann	Debbie
cast	Maude Apatow	Sadie
cast	Iris Apatow	Charlotte
cast	Jason Segel	Jason
cast	Annie Mumolo	Barb
cast	Robert Smigel	Barry
cast	Megan Fox	Desi
cast	Charlyne Yi	Jodi
cast	Hugh Fink	Male Boutique Customer
cast	Graham Parker	Himself
cast	Tom Freund	Graham Parker Solo Band
cast	D.A. Sandoval	Older Pregnant Parent
cast	Megan Grano	School Playdate Parent
cast	Mackenzie Aladjem	School Playmate Child
cast	Tom Yi	Charlotte's Teacher
cast	Molly Shad	Grandma Molly
cast	Michael Ian Black	Accountant
cast	Chris O'Dowd	Ronnie
cast	Lena Dunham	Cat
cast	David Wild	Jewish Journal Reporter
cast	Barbara Carrillo	Mammogram Technician
cast	Tom Everett	Pete's Doctor
cast	Tim Bagley	Dr. Pellagrino
cast	Damon Gupton	Colonoscopy Technician
cast	Dan Bakkedahl	Dentist
cast	Rebekka Johnson	Gyno Nurse
cast	Erica Vittina Phillips	Gyno Nurse
cast	Albert Brooks	Larry
cast	Jack Patrick Metcalf	Triplet
cast	Travis Scott Metcalf	Triplet
cast	Bradley James Metcalf	Triplet
cast	Lisa Darr	Claire
cast	John Lithgow	Oliver
cast	Johnny Pemberton	Room Service Waiter
cast	Derek Basco	Room Service Waiter
cast	Sam Dissanayake	Eastern Doctor
cast	Tatum O'Neal	Realtor
cast	Ava Sambora	Wendy
cast	Nyla Durdin	Sadie's Set-Painting Friend
cast	Ryan Lee	Joseph
cast	Wyatt Russell	Flirty Hockey Player
cast	Phil Burke	Hockey Player
cast	R. Matt Carle	Himself
cast	Ian Laperrière	Himself
cast	James F. Van Riemsdyk	Himself
cast	Scott Wesley Hartnell	Himself
cast	Steve Goulding	The Rumour Band
cast	Andrew Bodnar	The Rumour Band
cast	Martin Belmont	The Rumour Band
cast	Bob Andrews	The Rumour Band
cast	Brinsley Schwarz	The Rumour Band
cast	Billie Joe Armstrong	Himself
cast	Melissa McCarthy	Catherine
cast	Joanne Baron	Vice Principal Laviati
cast	Spencer Daniels	Obnoxious Teenager in SUV
cast	Charlotte Townsend	Obnoxious Teenager in SUV
cast	Phil Hendrie	Man in Range Rover
cast	Nicol Paone	ER Nurse
cast	Ryan Adams	Himself
cast	Christopher Stills	Ryan Adams Band
cast	Ian McLagan	Ryan Adams Band
cast	Marshall Vore	Ryan Adams Band
cast	Cindy Cashdollar	Ryan Adams Band
cast	Gus Seyffert	Ryan Adams Band
cast	Christina Cannarella	Immunization Nurse
cast	Sonny Benudiz	Club Guest
cast	Craig Cole	Hotel Guest
cast	Tiffany Connor	Patient
cast	Dave Cowen	BBQ Party Guest
cast	Hayley A. Danner	Waitress
cast	Sandra Daubert	BBQ Party Guest
cast	Lynne Alana Delaney	Disturbed Restaurant Patron
cast	Michael Didriksson	Party Guest
cast	Gerald Emerick	Birthday Party Guest
cast	Chad Everhart	Club Patron
cast	David Paul Francis	Parent #2
cast	Blake Garrett Rosenthal	Thomas
cast	Enzo Gentile	BBQ Guest #4
cast	Christeon Gordon	Bbq Guest #5
cast	Bill Hader	Man at the Store
cast	Elly Kaye	Marissa
cast	Katia Kieling	BBQ Guest
cast	Tara Kredel	Party Guest
cast	Jessica Lee	Party Guest #1
cast	Pedro Lopez	Attendant
cast	Chanelle Lyn	Club Patron
cast	Taylor Matijevich	Bar Patron
cast	Robert McMurrer	Club Patron
cast	Suzy Nakamura	
cast	Katherine M. Oneill	Party Guest
cast	Kristin Quick	Crazy Fangirl
cast	Deborah Rombaut	Concert Goer
cast	Sapphire	Club Patron
cast	Tatiana Sarasty	Server
cast	Andrew Schlessinger	Neighbor with Dog
cast	Michael James Spall	Boutique Customer
cast	Noni Tulk-Perna	BBQ Guest #1
cast	Andrew Wayne	Orderly
cast	Mark Anthony Williams	Red Room Bartender
cast	Rachel Zake	Concert Goer
cast	Cordelia Zawarski	Pregnant Parent's Daughter
