year	2011
imdb score	7.0
meta score	57
genre	Action
genre	Adventure
genre	Fantasy
keyword	thor
keyword	throne
keyword	scientist
keyword	warrior
keyword	humility
keyword	arrogance
keyword	hero
keyword	immortal
keyword	presumed dead
keyword	mother son relationship
keyword	960s
keyword	trailer home
keyword	forgiveness
keyword	queen
keyword	pop tart
keyword	brother against brother
keyword	professor
keyword	super villain
keyword	norse
keyword	wormhole
keyword	king
keyword	alternate world
keyword	camcorder
keyword	action hero
keyword	robot
keyword	evil sorcerer
keyword	guard
keyword	abyss
keyword	marvel comics
keyword	year 965
keyword	sorcerer
keyword	spell
keyword	young version of character
keyword	pet shop
keyword	giant
keyword	armor
keyword	based on comic book
keyword	lasersight
keyword	good versus evil
keyword	budweiser
keyword	stabbed in the back
keyword	father son relationship
keyword	teleportation
keyword	handcuffs
keyword	palace
keyword	cape
keyword	10th century
keyword	anti hero
keyword	brother betrays brother
keyword	artificial intelligence
keyword	based on comic
keyword	arrest
keyword	falling from height
keyword	mentor
keyword	brawl
keyword	prince
keyword	binoculars
keyword	horse
keyword	reference to god
keyword	injection
keyword	small town
keyword	escape
keyword	no opening credits
keyword	doctor
keyword	mythological
keyword	martial arts
keyword	hospital
keyword	babe scientist
keyword	warrior race
keyword	body landing on a car
keyword	library
keyword	adopted son
keyword	eye patch
keyword	blizzard
keyword	punched in the face
keyword	observatory
keyword	lens flare
keyword	creature
keyword	flashlight
keyword	prisoner
keyword	alien planet
keyword	surprise after end credits
keyword	tough guy
keyword	anti villain
keyword	new mexico
keyword	giant robot
keyword	lightning
keyword	secret agent
keyword	viking
keyword	outer space
keyword	gas station
keyword	giant creature
keyword	dr pepper
keyword	heavy rain
keyword	helmet
keyword	female warrior
keyword	family relationships
keyword	casket
keyword	origin of hero
keyword	exploding gasoline station
keyword	crater
keyword	giant monster
keyword	one man army
keyword	planet
keyword	visa
keyword	bare chested male
keyword	ice
keyword	cameo
keyword	product placement
keyword	impact crater
keyword	betrayal
keyword	deception
keyword	female soldier
keyword	dark comedy
keyword	rivalry
keyword	super strength
keyword	suicide
keyword	interrogation
keyword	traitor
keyword	gate keeper
keyword	electrocution
keyword	hand to hand combat
keyword	mountain
keyword	exploding car
keyword	head butt
keyword	mythology
keyword	self sacrifice
keyword	bar
keyword	mixed martial arts
keyword	shapeshifting
keyword	one word title
keyword	mercenary
keyword	machine gun
keyword	scene after end credits
keyword	21st century
keyword	norse mythology
keyword	honor
keyword	monster
keyword	snow
keyword	hammer
keyword	2010s
keyword	flying
keyword	exploding building
keyword	slow motion scene
keyword	castle
keyword	space travel
keyword	surveillance
keyword	frozen alive
keyword	taser
keyword	super powers
keyword	sword
keyword	desert
keyword	drunkenness
keyword	axe
keyword	stepbrother
keyword	violence
keyword	fistfight
keyword	brother vs brother
