year	1983
imdb score	7.1
meta score	N/A
genre	Drama
genre	War
keyword	nicaragua
keyword	revolution
keyword	journalist
keyword	photographer
keyword	reporter
keyword	civil war
keyword	summary execution
keyword	kidnapping
keyword	central america
keyword	night club
keyword	disinterment
keyword	insurrection
keyword	shantytown
keyword	dictator
keyword	baltimore orioles
keyword	rebel
keyword	cia
keyword	mercenary
keyword	murder
keyword	insurgency
keyword	shot in the chest
keyword	helicopter
keyword	hotel
keyword	1970s
keyword	elephant
keyword	chad
keyword	hand grenade
keyword	photojournalist
keyword	american aid
keyword	independent film
cast	Nick Nolte	Russell Price
cast	Ed Harris	Oates
cast	Gene Hackman	Alex Grazier
cast	Joanna Cassidy	Claire
cast	Alma Martinez	Isela
cast	Holly Palance	Journalist
cast	Ella Laboriel	Nightclub Singer
cast	Samuel Zarzosa	Jazz Combo: drums
cast	Jonathan Zarzosa	Jazz Combo: piano
cast	Raul Picasso	Jazz Combo: bass
cast	Oswaldo Doria	Boy Photographer
cast	Fernando Elizondo	Businessman
cast	Hamilton Camp	Regis Seydor
cast	Jean-Louis Trintignant	Marcel Jazy
cast	Richard Masur	Hub Kittle
cast	Jorge Santoyo	Guerilla Leader
cast	Lucina Rojas	Guerilla Leader
cast	Raúl García	Waiter
cast	Víctor Alcocer	Sandinista
cast	Eric F. Valdez	
cast	Andaluz Russell	Young Journalist
cast	E. Villavicencio	Arresting Officer
cast	Enrique Lucero	Prison Priest
cast	Enrique Beraza	Interrogating Officer
cast	Jenny Gago	Miss Panama
cast	Elpidia Carrillo	Sandinista
cast	Martin Palmares	Sandinista
cast	Gerardo Albarrán	Sandinista
cast	Eloy Casados	Pedro
cast	Carlos Romano	Priest
cast	René Enríquez	President Anastasio Somoza
cast	Jose Campos Jr.	Soldier
cast	Raymard Camp	TV-camera crew
cast	Antonio Mata Jr.	TV-camera crew
cast	Julio Cesar Vazquez	Small Boy
cast	Martin LaSalle	Commandante Cinco
cast	Filipe Ytuarte	Commandante
cast	Jorge Zepeda	Rafael
cast	Alfredo Gutiérrez	Soldier at roadblock
cast	Jose Marin	Soldier at roadblock
cast	J.A. Ferral	Soldier at Jazy's house
cast	E. Baramona	Soldier at Jazy's house
cast	Octavio Cruz	Soldier at Jazy's house
cast	Leonor Llausás	Woman in shanty town
cast	Juan Carlos Meizueiro	Boy Soldier
cast	Humberto Vilches	Squadron Commander
cast	Roberto Dumant	Hotel Clerk
cast	Ahui Camacho	Muchacho at Jazy's house
cast	Arturo Rodríguez Doring	Muchacho at Jazy's house
cast	Bruno Bichir	Muchacho at Jazy's house
cast	Ricardo Ramirez	Sandinista with radio
cast	José Carlos Rodríguez	Sandinista with radio
cast	Enrique Hernández	Boy on bike
cast	Monica Miguel	Doctor
cast	Luisa Sánchez M.	Woman in refugee camp
cast	Carlos Lenin Vazuez	Boy
cast	Clay Wright	Helicopter Pilot
cast	Michael Crowley	Helicopter Gunner
cast	Eugene Vagnone	Helicopter Gunner
cast	Robert Stone	
