year	2009
imdb score	8.3
meta score	88
genre	Adventure
genre	Animation
genre	Drama
genre	Family
genre	Fantasy
keyword	house
keyword	south america
keyword	stowaway
keyword	retirement
keyword	balloon
keyword	dream
keyword	promise
keyword	boy
keyword	retirement home
keyword	dog
keyword	assisting the elderly
keyword	bird
keyword	mailbox
keyword	talking dog
keyword	construction worker
keyword	girl
keyword	explorer
keyword	blimp
keyword	friend
keyword	badge
keyword	wilderness
keyword	skeleton
keyword	villain
keyword	goggles
keyword	stairway elevator chair
keyword	fire
keyword	boy dog relationship
keyword	tree falling on a house
keyword	chasm
keyword	elizabethan collar
keyword	falling from height
keyword	kiss
keyword	watching tv
keyword	cub scout
keyword	cane
keyword	reading by flashlight
keyword	food
keyword	depression
keyword	rock formation
keyword	trying to get pregnant
keyword	biplane
keyword	sadness
keyword	ballast
keyword	pack of dogs
keyword	mount everest
keyword	camping
keyword	wanting a baby
keyword	blanket fort
keyword	nostalgia
keyword	plateau
keyword	loss of wife
keyword	boy girl relationship
keyword	souvenir album
keyword	father son relationship
keyword	plane crash
keyword	childhood photo
keyword	bone
keyword	porch
keyword	some scenes in black and white
keyword	weather vane
keyword	floating in the air
keyword	dancer
keyword	storm
keyword	ice cream
keyword	abandoned house
keyword	rope climbing
keyword	photo album epilogue
keyword	widower
keyword	montage
keyword	unable to get pregnant
keyword	bus
keyword	tied to a chair
keyword	court summons
keyword	garden hose
keyword	3 d
keyword	character repeats narrator's words
keyword	rare animal
keyword	suitcase
keyword	waterfall
keyword	compass
keyword	sword
keyword	asian boy
keyword	cloud gazing
keyword	loneliness
keyword	chocolate
keyword	photograph
keyword	hero
keyword	anthropomorphic animal
keyword	english bulldog
keyword	sterile
keyword	police car
keyword	exotic bird
keyword	rooster wind direction vane
keyword	souvenir
keyword	illness
keyword	dinosaur fossil
keyword	award
keyword	levitation
keyword	child in danger
keyword	wedding ring
keyword	lifting someone into the air
keyword	parachute
keyword	thunderstorm
keyword	going to the bathroom outside
keyword	merit badge
keyword	talking to the dead
keyword	rain
keyword	lightning
keyword	missing teeth
keyword	computer animation
keyword	promotion
keyword	salute
keyword	hearing aid
keyword	rifle
keyword	one word title
keyword	cartoon bird
keyword	old photograph
keyword	old man
keyword	ambulance
keyword	campfire
keyword	airplane
keyword	footprint
keyword	megaphone
keyword	dancing
keyword	hospital
keyword	no opening credits
keyword	bottlecap
keyword	gps
keyword	thunder
keyword	nursery
keyword	trial
keyword	clubhouse
keyword	tent
keyword	watching a movie
keyword	wanderlust
keyword	master dog relationship
keyword	walker
keyword	boy scout
keyword	funeral
keyword	cartoon dog
keyword	animal
keyword	dogs playing poker
keyword	wilhelm scream
keyword	talking to one's dead wife
keyword	squirrel
keyword	old woman
keyword	giant bird
keyword	wedding
keyword	pixar animated film
keyword	hot dog
keyword	urban renewal
keyword	lantern
keyword	wound
keyword	lifting male in air
keyword	crossing heart
keyword	husband wife relationship
keyword	childhood sweetheart
keyword	unshaved
keyword	climbing
keyword	death of wife
keyword	gulping in fear
keyword	helmet
keyword	flashlight
keyword	climbing through a window
keyword	movie theatre
keyword	flying
keyword	scrapbook
keyword	missing front tooth
keyword	house on fire
keyword	dog cone
keyword	microphone
keyword	doberman pinscher
keyword	tennis ball
keyword	eating
keyword	growing old
keyword	dirigible
keyword	scientist
keyword	subjective camera
keyword	theatre audience
keyword	mother son relationship
keyword	alarm clock
keyword	gerbil
keyword	head wound
keyword	false teeth
keyword	cgi film
keyword	danger
keyword	sail
keyword	lifted by helium balloon
keyword	construction site
keyword	child in peril
keyword	pike's peak
keyword	anthropomorphism
keyword	arm cast
keyword	canyon
keyword	building demolition
keyword	picnic
keyword	selfishness
keyword	baby bird
keyword	leaf blower
keyword	cliff
keyword	shotgun
keyword	caught in a net
keyword	foot in door
keyword	policewoman
keyword	newsreel in plot
keyword	love
keyword	falling
keyword	sense of smell
keyword	character's point of view camera shot
keyword	church
keyword	flying house
keyword	marriage
keyword	jungle
keyword	doberman
keyword	infertility
keyword	chase
keyword	falling off a cliff
keyword	courtroom
keyword	chocolate bar
keyword	gas cylinder
keyword	dog collar
keyword	friendship
keyword	title spoken by character
keyword	
cast	Edward Asner	Carl Fredricksen
cast	Christopher Plummer	Charles Muntz
cast	Jordan Nagai	Russell
cast	Bob Peterson	Dug / Alpha
cast	Delroy Lindo	Beta
cast	Jerome Ranft	Gamma
cast	John Ratzenberger	Construction Foreman Tom
cast	David Kaye	Newsreel Announcer
cast	Elie Docter	Young Ellie
cast	Jeremy Leary	Young Carl
cast	Mickie McGowan	Police Officer Edith
cast	Danny Mann	Construction Worker Steve
cast	Donald Fullilove	Nurse George
cast	Jess Harnell	Nurse AJ
cast	Josh Cooley	Omega
cast	Pete Docter	Campmaster Strauch
cast	Mark Andrews	Additional Voices
cast	Bob Bergen	Additional Voices
cast	Brenda Chapman	Additional Voices
cast	Emma Coats	Additional Voices
cast	John Cygan	Additional Voices
cast	Paul Eiding	Additional Voices
cast	Tony Fucile	Additional Voices
cast	Teresa Ganzel	Additional Voices
cast	Sherry Lynn	Additional Voices
cast	Laraine Newman	Additional Voices
cast	Teddy Newton	Additional Voices
cast	Jeff Pidgeon	Additional Voices
cast	Valerie LaPointe	Additional Voices
cast	Jan Rabson	Additional Voices
cast	Bob Scott	Additional Voices
cast	Sebastian Warholm	Russell
