year	2008
imdb score	7.1
meta score	56
genre	Drama
genre	History
genre	Thriller
genre	War
keyword	nazi
keyword	german officer
keyword	bomb
keyword	north africa
keyword	assassination
keyword	ss
keyword	colonel
keyword	conspiracy
keyword	bunker
keyword	nazi germany
keyword	war ministry
keyword	jew
keyword	explosion
keyword	heil hitler
keyword	major general
keyword	invasion
keyword	garrotting
keyword	government
keyword	betrayal
keyword	food
keyword	tools
keyword	one word title
keyword	german army
keyword	bomb shelter
keyword	amputee
keyword	kangaroo court
keyword	song
keyword	firing squad
keyword	tunisia
keyword	exploding car
keyword	diary
keyword	courtroom
keyword	armored vehicle
keyword	tears
keyword	eye patch
keyword	singing
keyword	friendship
keyword	rifle
keyword	church
keyword	blanket
keyword	shot in the back
keyword	time bomb
keyword	children
keyword	murder
keyword	military headquarters
keyword	swimming pool
keyword	nazi uniform
keyword	tragic hero
keyword	treason
keyword	mass execution
keyword	year 1944
keyword	major
keyword	chancellor
keyword	meat hook
keyword	escape attempt
keyword	traitor
keyword	berlin germany
keyword	arrest
keyword	swimming
keyword	father son relationship
keyword	hung from a hook
keyword	what if
keyword	cyanide
keyword	severed hand
keyword	physician
keyword	treachery
keyword	ethnic slur
keyword	world war two
keyword	war injury
keyword	family relationships
keyword	switchboard
keyword	one eyed man
keyword	reference to field marshal montgomery
keyword	finger amputation
keyword	recording
keyword	checkpoint
keyword	lieutenant colonel
keyword	death by hanging
keyword	smolensk russia
keyword	strafing
keyword	shootout
keyword	bavaria
keyword	dancer
keyword	eye wound
keyword	voice over narration
keyword	crying
keyword	hanged man
keyword	cigarette smoking
keyword	mosquito
keyword	what happened to epilogue
keyword	teletype
keyword	shaving
keyword	shot to death
keyword	general
keyword	cut
keyword	second lieutenant
keyword	body bag
keyword	men's bathroom
keyword	court
keyword	assassination plot
keyword	resistance
keyword	execution
keyword	enigma machine
keyword	disfigurement
keyword	reference to mussolini
keyword	blood
keyword	swimmer
keyword	tent
keyword	shot in the head
keyword	air raid siren
keyword	death
keyword	suicide note
keyword	severed finger
keyword	drink
keyword	eating
keyword	listening to a radio
keyword	hanging
keyword	normandy
keyword	war game
keyword	flash forward
keyword	shot in the chest
keyword	military coup
keyword	wehrmacht
keyword	suicide
keyword	revenge
keyword	german resistance
keyword	hospital
keyword	plot to kill hitler
keyword	pistol
keyword	cross
keyword	grenade
keyword	sham trial
keyword	desert
keyword	battalion
keyword	air raid
keyword	coup d'état
keyword	photographer
keyword	exploitation
keyword	lieutenant
keyword	german soldier
keyword	photograph
keyword	wagner's ride of the valkyries
keyword	detonator
keyword	air raid shelter
keyword	shooting
keyword	schnapps
keyword	piano wire
keyword	plan gone wrong
keyword	death of protagonist
keyword	dog
keyword	suspense
keyword	iron cross
keyword	german shepherd
keyword	luftwaffe
keyword	cyanide capsule
keyword	gun
keyword	nightclub
keyword	third reich
keyword	presumed dead
keyword	chandelier
keyword	berghof germany
keyword	tank
keyword	violence
keyword	reference to richard wagner
keyword	court martial
keyword	telephone call
keyword	pliers
keyword	artillery
keyword	boy
keyword	mirror
keyword	shot in the arm
keyword	afrika corps
keyword	no opening credits
keyword	stauffenberg bomb plot
keyword	eyeball
keyword	singer
keyword	warrant
keyword	crucifix
keyword	1940s
keyword	typewriter
keyword	listening to music
keyword	briefcase
keyword	shelling
keyword	gestapo
keyword	suicide pill
keyword	motorcycle with a sidecar
keyword	rastenburg east prussia
keyword	panzer
keyword	husband wife relationship
keyword	wooden sword
keyword	bavarian alps
keyword	bandage
keyword	flight to freedom
keyword	military officer
keyword	mother son relationship
keyword	dancing
keyword	assassination attempt
keyword	nazi soldier
keyword	victrola
keyword	title appears in writing
keyword	swastika
keyword	adjutant
keyword	motorcycle
keyword	high treason
keyword	airplane
keyword	tin snips
keyword	bombing
keyword	drinking
keyword	suicide by gunshot
keyword	judge
keyword	phonograph
keyword	munich germany
keyword	pride
keyword	deception
keyword	year 1943
keyword	glass eye
keyword	politics
keyword	record player
keyword	military
keyword	medal
keyword	kiss
keyword	title spoken by character
cast	Tom Cruise	Colonel Claus von Stauffenberg
cast	Kenneth Branagh	Major-General Henning von Tresckow
cast	Bill Nighy	General Friedrich Olbricht
cast	Tom Wilkinson	General Friedrich Fromm
cast	Carice van Houten	Nina von Stauffenberg
cast	Thomas Kretschmann	Major Otto Ernst Remer
cast	Terence Stamp	Ludwig Beck
cast	Eddie Izzard	General Erich Fellgiebel
cast	Kevin McNally	Dr. Carl Goerdeler
cast	Christian Berkel	Colonel Mertz von Quirnheim
cast	Jamie Parker	Lieutenant Werner von Haeften
cast	David Bamber	Adolf Hitler
cast	Tom Hollander	Colonel Heinz Brandt
cast	David Schofield	Erwin von Witzleben
cast	Kenneth Cranham	Field Marshal Wilhelm Keitel
cast	Halina Reijn	Margarethe von Oven
cast	Werner Daehn	Major Ernst John von Freyend
cast	Harvey Friedman	Dr. Joseph Goebbels
cast	Matthias Schweighöfer	Lieutenant Herber
cast	Waldemar Kobus	Police Chief Wolf-Heinrich von Helldorf
cast	Florian Panzner	Second Lieutenant Hagen
cast	Ian McNeice	Pompous General
cast	Danny Webb	Captain Haans
cast	Chris Larkin	Sergeant Helm
cast	Matthew Burton	Lieutenant-General Adolf Heusinger
cast	Philipp von Schulthess	Tresckow's Aide
cast	Wotan Wilke Möhring	Sergeant Kolbe
cast	Christian Oliver	Sergeant-Major Adam
cast	Bernard Hill	Confident General - Desert
cast	Julian Morris	Young Lieutenant - Desert
cast	Helmut Stauss	Dr. Roland Freisler
cast	Tim Williams	Doctor
cast	Karl Alexander Seidel	Stauffenberg Child
cast	Timo Huber	Stauffenberg Child
cast	Justus Kammerer	Stauffenberg Child
cast	Annika Becker	Stauffenberg Child
cast	Marie Becker	Stauffenberg Child
cast	Katharine Mehrling	Female Singer
cast	Andy Gatjen	Angry SS Officer
cast	Achim Buch	Soldier
cast	Manfred-Anton Algrang	Albert Speer
cast	Matthias Freihof	Reichsführer Heinrich Himmler
cast	Gerhard Haase-Hindenberg	Reich Marshal Hermann Göring
cast	Jon Collin Barclay	Second Lieutenant Kretz
cast	Matthias Ziesing	Young Officer - Wolf's Lair
cast	Tom Wlaschiha	Communications Officer
cast	Carsten Voigt	Checkpoint Guard
cast	O'Shea Miles	Sentry - OKH
cast	Anna Holmes	Central Communications Operator
cast	Michael Schumacher	Young Officer
cast	Niklas Bardeli	Aide to Stauffenberg
cast	Christoph Förster	Aide to Stauffenberg
cast	Andre Schwedt	Keitel's Adjutant
cast	Isabella Drischel	War Ministry Secretary
cast	Max Urlacher	Officer
cast	Justin Beard	Wolf's Lair Operator
cast	Tilmann von Blomberg	Arresting Officer
cast	Karsten Mielke	Remer's Driver
cast	Jason Barry	SS Officer
cast	Joel Bryant	S.S. Soldier
cast	Mike Dunn	German Motorcycle Driver - Afrika Scene
cast	Wolfgang Grossmann	Standartenführer Neuner
cast	Michael Ihnow	Officer
cast	Efka Kvaraciejus	Berghoff SS Soldier
cast	Kyle Leatherberry	SS Officer #3
cast	Jacob Newton	Nazi Soldier
cast	Dylan Saccoccio	Shirtless German Soldier
cast	Gubbi Sigurdsson	German Soldier
cast	Sean Velie	Injured Soldier - Desert
cast	Nicolas Walier	Waiter #2
