year	2008
imdb score	8.5
meta score	94
genre	Adventure
genre	Animation
genre	Family
genre	Romance
genre	Sci-Fi
keyword	earth
keyword	robot
keyword	plant
keyword	future
keyword	rescue
keyword	dust storm
keyword	waste
keyword	corporation
keyword	loneliness
keyword	cockroach
keyword	mutiny
keyword	garbage
keyword	captain
keyword	autopilot
keyword	blockbuster
keyword	moon
keyword	number in character's name
keyword	closing credits sequence
keyword	morbid obesity
keyword	film within a film
keyword	trash compactor
keyword	spoon
keyword	swimming pool
keyword	self destructiveness
keyword	billboard
keyword	lifting someone into the air
keyword	ecological disaster
keyword	towel
keyword	earth viewed from space
keyword	degradation
keyword	electric shock
keyword	cooler
keyword	no opening credits
keyword	globe
keyword	dirt
keyword	overweight
keyword	lighter
keyword	corporate executive
keyword	29th century
keyword	garbage dump
keyword	computer reboot
keyword	obesity
keyword	fire extinguisher
keyword	exodus
keyword	biblical allegory
keyword	stowaway
keyword	post apocalypse
keyword	satire
keyword	box
keyword	hubcap
keyword	laser
keyword	collection
keyword	social critic
keyword	rubik's cube
keyword	ecological
keyword	space junk
keyword	acronym in title
keyword	garbage chute
keyword	slow motion
keyword	umbrella
keyword	thunderstorm
keyword	environmental issues
keyword	desert
keyword	curiosity
keyword	videotape
keyword	boot
keyword	unconventional romance
keyword	soil
keyword	modern masterpiece
keyword	sculpture
keyword	environmental disaster
keyword	spacecraft
keyword	mission
keyword	space station
keyword	launch
keyword	escape pod
keyword	child
keyword	oil tanker
keyword	dark future
keyword	ecological footprint
keyword	extinction
keyword	laser cutter
keyword	sentience
keyword	brainwash
keyword	lifting an adult into the air
keyword	fork
keyword	lifting person in air
keyword	light bulb
keyword	tire
keyword	airlock
keyword	spare part
keyword	dystopia
keyword	diamond ring
keyword	video surveillance
keyword	shoe
keyword	ipod
keyword	commander
keyword	consumerism
keyword	dehumanization
keyword	holding hands
keyword	environmental issue
keyword	megacorporation
keyword	very little dialogue
keyword	pollution
keyword	lifting male in air
keyword	refrigerator
keyword	solar power
keyword	ghost town
keyword	rat
keyword	computer animation
keyword	struck by lightning
keyword	man versus machine
keyword	gift
keyword	bleak future
keyword	outer space
keyword	repair
keyword	first kiss
keyword	digging
keyword	make up
keyword	self repair
keyword	part live action
keyword	social commentary
keyword	pixar animated film
keyword	scene during end credits
keyword	cruise ship
keyword	slapstick comedy
keyword	scrap metal
keyword	title spoken by character
keyword	character name in title
keyword	
cast	Ben Burtt	WALL·E / M-O
cast	Elissa Knight	EVE
cast	Jeff Garlin	Captain
cast	Fred Willard	Shelby Forthright, BnL CEO
cast	MacInTalk	AUTO
cast	John Ratzenberger	John
cast	Kathy Najimy	Mary
cast	Sigourney Weaver	Ship's Computer
cast	Lori Alan	
cast	Bob Bergen	
cast	John Cygan	
cast	Pete Docter	
cast	Paul Eiding	
cast	Donald Fullilove	
cast	Teresa Ganzel	
cast	Jess Harnell	
cast	Sherry Lynn	
cast	Mickie McGowan	
cast	Laraine Newman	
cast	Teddy Newton	Steward Bots
cast	Jeff Pidgeon	
cast	Jan Rabson	
cast	Lori Richardson	
cast	Andrew Stanton	
cast	Jim Ward	
cast	Colette Whitaker	
cast	Kim Kopf	Hoverchair Mother
cast	Angus MacLane	BURN-E
cast	Niki McElroy	Pool Mother
cast	Garrett Palmer	Blond Boy in Commercial
cast	Kai Steel Smith	Brunette Boy in commercial
