year	2005
imdb score	6.5
meta score	73
genre	Adventure
genre	Sci-Fi
genre	Thriller
keyword	survival
keyword	fight
keyword	storm
keyword	alien
keyword	tripod
keyword	lightning
keyword	screaming
keyword	end of the world
keyword	basement
keyword	snow
keyword	exploding person
keyword	digging
keyword	blockbuster
keyword	solar flare
keyword	carjacking
keyword	broken window
keyword	apocalypse
keyword	sleeping
keyword	bridge collapse
keyword	blood
keyword	boston massachusetts
keyword	car tossed into the air
keyword	bird
keyword	police
keyword	shotgun
keyword	death
keyword	refugee camp
keyword	remake
keyword	electro magnetic pulse
keyword	dead body
keyword	rescue
keyword	disintegration
keyword	tentacle
keyword	u.s. soldier
keyword	song
keyword	mob
keyword	panic
keyword	cafe
keyword	refugee
keyword	extraterrestrial
keyword	woman disintegrated
keyword	traffic jam
keyword	spaceship
keyword	patriot
keyword	athens greece
keyword	ex husband ex wife relationship
keyword	reference to sponge bob
keyword	subway
keyword	statue
keyword	military
keyword	torture
keyword	destroyed city
keyword	earphones
keyword	runaway train
keyword	drowning
keyword	tv news crew
keyword	tivo
keyword	hand grenade
keyword	tv news
keyword	crying
keyword	bridge
keyword	car engine
keyword	annihilation
keyword	evacuation
keyword	divorce
keyword	singing
keyword	rain
keyword	usa
keyword	single father
keyword	longshoreman
keyword	brother brother relationship
keyword	blood donation
keyword	mother in law son in law relationship
keyword	river
keyword	earthquake
keyword	food
keyword	cosmic zoom
keyword	fictional war
keyword	american flag
keyword	humus
keyword	fire
keyword	car just stops running
keyword	reflection in water
keyword	ship captain
keyword	violence
keyword	plane wreck
keyword	tunnel
keyword	fear
keyword	hiding under a table
keyword	ferry
keyword	dockyard
keyword	vaporization
keyword	child in peril
keyword	crashing into a power pole
keyword	kidnapping
keyword	driver's license
keyword	smashing a window
keyword	car in water
keyword	algeria
keyword	brother sister relationship
keyword	truck
keyword	allergy
keyword	disaster
keyword	cage
keyword	sinkhole
keyword	airplane stewardess
keyword	blood spatter
keyword	explosion
keyword	new jersey
keyword	death ray
keyword	no opening credits
keyword	mirror
keyword	invasion
keyword	alien invasion
keyword	hunger
keyword	bazooka
keyword	bacteria
keyword	electricity
keyword	u.s. army
keyword	mother son relationship
keyword	cross
keyword	humanity in peril
keyword	corpse
keyword	falling overboard
keyword	gun
keyword	paris france
keyword	axe
keyword	asia
keyword	rocket launcher
keyword	telephone call
keyword	sinking ship
keyword	cell phone
keyword	capsized boat
keyword	eating
keyword	tank
keyword	stalled car
keyword	whirlpool
keyword	dead body floating in a river
keyword	survivor
keyword	minuteman statue
keyword	ipod
keyword	burning train
keyword	flashlight
keyword	cellar
keyword	2000s
keyword	tears
keyword	mother daughter relationship
keyword	rifle
keyword	singer
keyword	credit card
keyword	suv
keyword	destruction
keyword	reckless driving
keyword	rome italy
keyword	human versus alien
keyword	debris
keyword	shovel
keyword	jeep
keyword	power failure
keyword	u.s. air force
keyword	exploding building
keyword	new york city
keyword	pistol
keyword	outer space
keyword	video camera
keyword	pickup truck
keyword	tug of war
keyword	abduction
keyword	australia
keyword	artillery
keyword	london england
keyword	remake of cult film
keyword	pregnancy
keyword	restaurant
keyword	remote control
keyword	rat
keyword	family relationships
keyword	water geyser
keyword	critically acclaimed
keyword	freezing
keyword	hiroshima japan
keyword	military convoy
keyword	long take
keyword	bicycle
keyword	los angeles california
keyword	baseball
keyword	mini van
keyword	extinction
keyword	teenage boy
keyword	blindfold
keyword	grenade
keyword	south america
keyword	jeep on fire
keyword	gore
keyword	voice over narration
keyword	father son relationship
keyword	church
keyword	auto theft
keyword	underground monster
keyword	photograph
keyword	girl
keyword	playing catch
keyword	policeman
keyword	beaten to death
keyword	skateboard
keyword	helicopter
keyword	auto mechanic
keyword	japanese
keyword	sun
keyword	u.s. national guard
keyword	father daughter relationship
keyword	car accident
keyword	lullaby
keyword	dying
keyword	working class
keyword	train on fire
keyword	murder
keyword	peanut butter
keyword	europe
keyword	tv reporter
keyword	train
keyword	plane crash
keyword	chicago illinois
keyword	cartoon on tv
keyword	alien abduction
keyword	based on novel
keyword	surprise ending
keyword	
cast	Tom Cruise	Ray Ferrier
cast	Dakota Fanning	Rachel Ferrier
cast	Miranda Otto	Mary Ann
cast	Justin Chatwin	Robbie
cast	Tim Robbins	Harlan Ogilvy
cast	Rick Gonzalez	Vincent
cast	Yul Vazquez	Julio
cast	Lenny Venito	Manny the Mechanic
cast	Lisa Ann Walter	Bartender
cast	Ann Robinson	Grandmother
cast	Gene Barry	Grandfather
cast	David Alan Basche	Tim
cast	Roz Abrams	Herself
cast	Michael Brownlee	TV Reporter, Osaka
cast	Camillia Sanes Monet	News Producer
cast	Marlon Young	News Cameraman
cast	John Eddins	News Van Driver
cast	Peter Gerety	Hatch Boss / Load Manager
cast	David Harbour	Dock Worker
cast	Miguel Antonio Ferrer	Brazilian Neighbor
cast	January LaVoy	Brazilian Neighbor's Wife
cast	Stephen Gevedon	Neighbor with Lawnmower
cast	Julie White	Woman
cast	Marianne Ebert	Hysterical Woman
cast	Rafael Sardina	Mechanic's Assistant
cast	Amy Ryan	Neighbor with Toddler
cast	Ed Vassallo	Intersection Guy
cast	Michael Arthur	Intersection Guy
cast	Danny Hoch	Intersection Guy Cop
cast	Sharrieff Pugh	Man Studying Street
cast	Erika LaVonn	Photographer
cast	Christopher Evan Welch	Photographer
cast	John Michael Bolger	Man Holding Woman
cast	Omar Jermaine	Man Holding Woman
cast	Robert Cicchini	Guy in Suit
cast	Jim Hanna	Bus Driver
cast	Tracy Howe	Crowd Onlooker
cast	Adam Lazarre-White	Crowd Onlooker
cast	Vito D'Ambrosio	Crowd Onlooker
cast	Laura Zoe Quist	Crowd Onlooker
cast	Ana Maria Quintana	Crowd Onlooker
cast	Lorelei Llee	Crowd Onlooker
cast	Mark Manley	Ferry Worker
cast	John Scurti	Ferry Captain
cast	Becky Ann Baker	Disaster Relief Volunteer
cast	Mariann Mayberry	Mother
cast	Ty Simpkins	3 Year Old Boy
cast	Jerry Walsh	Smart Guy
cast	Tommy Guiffre	National Guardsman
cast	Daniel Franzese	National Guardsman
cast	Ed Schiff	Older Man
cast	Ellen Barry	Woman from Upstate
cast	Amy Hohn	Panicky Woman
