year	2005
imdb score	7.7
meta score	N/A
genre	Biography
genre	Drama
keyword	polio
keyword	georgia
keyword	paralysis
keyword	paraplegic
keyword	spa
keyword	politics
keyword	love
keyword	infantile paraylsis
keyword	eyeglasses
keyword	first lady
keyword	legs
keyword	fire
keyword	boy scouts camp
keyword	divorce
keyword	wrist slitting
keyword	women's rights
keyword	automobile hand controls
keyword	head of state
keyword	conspiracy
keyword	mailman
keyword	typewriter
keyword	prejudice
keyword	public service
keyword	father daughter relationship
keyword	letter
keyword	what happened to epilogue
keyword	christmas tree
keyword	southern u.s.
keyword	mistress
keyword	infidelity
keyword	cafe
keyword	photographer
keyword	standing
keyword	flash forward
keyword	polio rehabilitation and treatment center
keyword	train station
keyword	tears
keyword	one room schoolhouse
keyword	lake
keyword	swimming pool
keyword	orthopedic society of america
keyword	train
keyword	governor
keyword	democratic party
keyword	boll weevil
keyword	ballet dancer
keyword	hot springs
keyword	marriage
keyword	orthopedic medicine
keyword	piano
keyword	pity
keyword	girl
keyword	dancer
keyword	singer
keyword	piano player
keyword	cigarette holder
keyword	journalist
keyword	ku klux klan
keyword	rise to power
keyword	martini
keyword	newspaper man
keyword	card playing
keyword	paralyzed from the waist down
keyword	song
keyword	drink
keyword	horse and wagon
keyword	gambling
keyword	camera
keyword	bicycle
keyword	photograph
keyword	illness
keyword	swimming
keyword	extramarital affair
keyword	memory
keyword	falling down
keyword	driving a car
keyword	wrist scar
keyword	adultery
keyword	christmas carol
keyword	crutches
keyword	unfaithfulness
keyword	league of women voters
keyword	1930s
keyword	cripple
keyword	envy
keyword	parallel bars
keyword	physical rehabilitation
keyword	patronization
keyword	overprotective mother
keyword	storm
keyword	muscles
keyword	social secretary
keyword	ambition
keyword	checkers
keyword	women's suffrage
keyword	duty
keyword	pittsburgh steel company
keyword	florida
keyword	boy scouts of america
keyword	hoist
keyword	shoes
keyword	rain
keyword	drinking
keyword	dream
keyword	mother in law daughter in law relationship
keyword	cigar smoking
keyword	fireplace
keyword	secretary
keyword	father son relationship
keyword	teenage girl
keyword	rural setting
keyword	1920s
keyword	new york state
keyword	buck teeth
keyword	newsreel footage
keyword	five card stud
keyword	ultimatum
keyword	self pity
keyword	singing
keyword	brother brother relationship
keyword	picnic
keyword	boy
keyword	doctor
keyword	debate
keyword	wheelchair
keyword	mother daughter relationship
keyword	children
keyword	washington d.c.
keyword	future president
keyword	train conductor
keyword	mail
keyword	restaurant
keyword	flashback
keyword	cousin cousin relationship
keyword	urination
keyword	great depression
keyword	cigarette smoking
keyword	walking
keyword	courage
keyword	compassion
keyword	leg brace
keyword	knitting
keyword	reference to god
keyword	warm springs georgia
keyword	new york governor
keyword	political convention
keyword	u.s. assistant secretary of the navy
keyword	cane
keyword	radio
keyword	boat
keyword	voice over narration
keyword	crossing self
keyword	trust fund
keyword	child welfare amendment
keyword	mother son relationship
keyword	hospital
keyword	physical disability
keyword	husband wife relationship
keyword	crying
keyword	suicide attempt
keyword	physical therapist
keyword	year 1924
keyword	christmas
keyword	president
keyword	louisiana governor
keyword	doctors' convention
keyword	dancing
keyword	fear
keyword	world war two
keyword	telegram
keyword	electric toy train
keyword	physical therapy
keyword	teenage boy
keyword	speech
keyword	u.s. president
keyword	1940s
keyword	title spoken by character
keyword	
cast	Kenneth Branagh	Franklin Delano Roosevelt
cast	Cynthia Nixon	Eleanor Roosevelt
cast	David Paymer	Louis Howe
cast	Tim Blake Nelson	Tom Loyless
cast	Matt O'Leary	Fred Botts
cast	Matt Malloy	Lionel Purdy
cast	Andy Davoli	Jake Perini
cast	Nelsan Ellis	Roy Collier
cast	Jane Alexander	Sara Delano Roosevelt
cast	Kathy Bates	Helena Mahoney
cast	Melissa Ponzio	Lucy Mercer
cast	Quint Von Canon	Stephen Teller
cast	Mike Pniewski	Hastings, Party Leader
cast	Grayce Spence	League Member
cast	Rand Hopkins	Dr. Lovett
cast	Brian F. Durkin	Elliott Roosevelt
cast	Carrie Adams	Anna - Age 19
cast	Georgia Miles	Anna - Age 12
cast	Devon Gearhart	Elliot - Age 8 and 11
cast	Tripp Hennington	Franklin Junior - Age 9
cast	Sam Frihart	John - Age 7
cast	Matthew Stanton	Scoutmaster
cast	Ron Clinton Smith	Eugene
cast	Lonnie R. Smith Jr.	Stanley
cast	Jill Jane Clements	Waitress
cast	Dave Hager	Pat Doyle
cast	Felicia Day	Eloise Hutchinson
cast	Meggie Geisland	Daisy
cast	E. Roger Mitchell	Pete Collier
cast	Deborah Duke	Aunt Sally
cast	Bob Seel	Cleburne Gregory, Reporter
cast	Brian Beegle	Benjamin Pendergrast
cast	Steve Coulter	Dr. Bissell
cast	Marianne Fraulo	Missy Lehand
cast	Jody Thompson	Woodhall Busey
cast	Frank Hoyt Taylor	Conductor
cast	Lori Beth Sikes	Mary Beth
cast	Teal Sherer	Chorus Girl #1
cast	Margo G. Dietrich	Chorus Girl #2
cast	Laurel Lawson	Chorus Girl #3
cast	Danny Nelson	Farmer
cast	Sharon Blackwood	Farmer's Wife
cast	Bart Hansard	Stationmaster at Bullochsville
cast	Terry Loughlin	Dr. Peter Hebert
cast	Marc McPherson	Dr. Willis
cast	J.L. Parker	Helena's Driver
cast	Wilbur Fitzgerald	Al Smith
cast	Terrence Gibney	Crony #1
cast	David Silverman	Crony #2
cast	Robert C. Treveiler	Dan Reed
cast	Carl McIntyre	Reporter
cast	Greg Thompson	Photographer
cast	Ron Goss	Convention Announcer
cast	Tim Blanchard	Conventioneer
cast	John Collier	Cafe Patron
cast	Danny Connell	The Piano Player
cast	Dana Delappi	Polio girl in restaurant
cast	Ben Turner Dixon	James Roosevelt
cast	Justin Warren Downing	Young Doctor
cast	Michael Byrd Elliott	Pushboy
cast	Joey Goldman	Boy Scout
cast	Jordan Guzman	Guiseppe
cast	Dave Haney	Reporter
cast	Azel James	Young Reporter
cast	Seth Morris	Student
cast	Andy Rusk	Page
cast	Preston Thompson	Boy Scout
cast	Maxwell Bach	Boy Scout
cast	Ted Boonthanakit	Storyboard Artist
cast	Joe Bosma	Extra
cast	Matthew Browning	Factory Worker
cast	Luanne Byrd	Politician's Wife
cast	Dalton Cole	Student
cast	Clay Cranford	Conventioneer
cast	Jon Everry	Young Doctor
cast	Julie Guy	Democratic Convention Attendee
cast	Jyn Hall	School Marm
cast	Craig S. Harper	Houston Police Officer
cast	Robert Hatch	Doctor
cast	AmyKathryn Jones	Conventioner
cast	Missy Key	Democratic Convention Attendee
cast	David Lowe	Houston Police Officer
cast	Luke Morris	Farmer's Son
cast	Eric Packham	Push Boy
cast	John Fitzgerald Page	Disabled Dignitary
cast	J.T. Seidler	Pushboy / Lifeguard
cast	Spencer Showalter	Boy Scout
cast	Robert Paul Smith	Roosevelt Supporter
cast	Brian Spencer	Train Passenger
cast	Syvonne	Kitchen Aide
cast	Terrance Thomas	Farmer's Son
cast	Jason Von Stein	Extra
cast	Jerry L. Wallace	Doctor
cast	Joe Walsh	Factory Worker
cast	Steve Warren	1920 Convention Speaker
cast	Nathan Wright	Cafe Patron
cast	Kenneth L. Zirkman	Samuel Mills
