year	2011
imdb score	7.0
meta score	52
genre	Drama
genre	Romance
keyword	circus
keyword	elephant
keyword	train
keyword	traveling circus
keyword	falling in love
keyword	old age
keyword	death of parents
keyword	narration
keyword	older version of character
keyword	dwarf
keyword	domestic violence
keyword	abusive husband
keyword	elephant trainer
keyword	1930s
keyword	retirement home
keyword	fear
keyword	lion
keyword	gun
keyword	circus tent
keyword	foreign language
keyword	three word title
keyword	circus vargas
keyword	horse riding
keyword	no title at beginning
keyword	dog
keyword	veterinarian
keyword	brutality
keyword	trapeze
keyword	determination
keyword	love triangle
keyword	leaving home
keyword	love on the run
keyword	circus horse
keyword	university student
keyword	show tent
keyword	historical fiction
keyword	circus performer
keyword	ringmaster
keyword	animal abuse
keyword	dancing
keyword	clown
keyword	clown makeup
keyword	bad temper
keyword	jealous rage
keyword	orphan
keyword	hand on butt
keyword	older woman younger man relationship
keyword	husband wife relationship
keyword	animal in title
keyword	parade
keyword	big top
keyword	death of father
keyword	death of mother
keyword	based on novel
cast	Reese Witherspoon	Marlena
cast	Robert Pattinson	Jacob
cast	Christoph Waltz	August
cast	Paul Schneider	Charlie
cast	Jim Norton	Camel
cast	Hal Holbrook	Old Jacob
cast	Mark Povinelli	Kinko / Walter
cast	Richard Brake	Grady
cast	Stephen Taylor	Wade
cast	Ken Foree	Earl
cast	Scott MacDonald	Blackie
cast	James Frain	Rosie's Caretaker
cast	Sam Anderson	Mr. Hyde
cast	John Aylward	Mr. Erwin
cast	Brad Greenquist	Mr. Robinson
cast	Tim Guinee	Diamond Joe
cast	Donna W. Scott	Barbara
cast	E.E. Bell	Cecil the Barker
cast	Kyle Jordan	Russ
cast	Aleksandra Kaniak	Mrs. Jankowski
cast	Ilia Volok	Mr. Jankowski
cast	Bruce Gray	Proctor
cast	Jim Jansen	Dean Wilkins
cast	James Keane	Chaplain
cast	Ivo Nandi	Grocer
cast	Karynn Moore	Catherine Hale
cast	Andrew Connolly	Weehawken Officer
cast	Doug McDougal	Big Top Band Leader
cast	Tracy Phillips	Coochie Girl
cast	Rowan O'Hara	Stampede Girl
cast	Tai	Rosie
cast	Uggie	Queenie
cast	Ice	Silver Star
cast	Major	Rex
cast	Sita Acevedo	Circus Performer
cast	Danny Castle	Circus Performer
cast	Michael Coronas	Circus Performer
cast	Aloysia Gavre	Circus Performer
cast	Chobi Gyorgy	Circus Performer
cast	David Hunt	Circus Performer
cast	George Landkas-Coronas	Circus Performer
cast	Kerren McKeeman	Circus Performer
cast	Rebecca Ostroff	Circus Performer
cast	Bianca Sapetto	Circus Performer
cast	Katia Sereno	Sideshow
cast	Vladimir Sizov	Circus Performer
cast	Russ Stark	Circus Performer
cast	Sebastien Stella	Circus Performer
cast	Lee-Anne Telford	Circus Performer
cast	Dreya Weber	Circus Performer
cast	Tara Ferguson	Showgirl
cast	Shannon Freyer	Showgirl
cast	Kelsey McNamee	Showgirl
cast	Molly O'Neill	Showgirl
cast	Mark Barnett	Sideshow
cast	Kacie Borrowman	Sideshow
cast	Rob Crites	Sideshow
cast	Kelly Erickson	Sideshow
cast	Derrick Gilday	Sideshow
cast	Jonathan Moore	Sideshow
cast	Mary Newman	Sideshow
cast	Brad Potts	Sideshow
cast	Dalmacio Pueblos	Sideshow
cast	Larry Gomez	Sideshow
cast	Jackie Zane	Sideshow
cast	Aryiel Hartman	Coochie Girl
cast	Michelle LaVon	Coochie Girl
cast	Aaron Bloom	Clown
cast	Chris Grabher	Clown
cast	Eddie Medrano	Clown
cast	Stephen Simon	Clown
cast	Jon Weiss	Clown
cast	Thomas Waymouth	Clown
cast	Wyatt Biessel	Big Top Band
cast	Christopher Blim	Big Top Band
cast	Duff Dugan	Big Top Band
cast	Marcus Everett	Big Top Band
cast	Joe Langer	Big Top Band
cast	Glen McDougal	Big Top Band
cast	Stefan Rollins	Big Top Band
cast	William Morse	Big Top Band
cast	Evan Silverman	Big Top Band
cast	Beresford Bennett	Sideshow Band
cast	Johnny Britt	Sideshow Band
cast	Garnett Brown	Sideshow Band
cast	George Harper	Sideshow Band
cast	Bobby Haynes	Sideshow Band
cast	Todd Cochran	Speakeasy Jazz Band
cast	Mike Davis	Speakeasy Jazz Band
cast	Keith Fiddmont	Speakeasy Jazz Band
cast	Wynton McCurdy	Speakeasy Jazz Band
cast	Deryl Patterson	Speakeasy Jazz Band
cast	Kabin Thomas	Speakeasy Jazz Band
cast	Karl Vincent	Speakeasy Jazz Band
cast	Casey	Marlena's Show Horse
cast	Navarre	Marlena's Show Horse
cast	Willow	Marlena's Show Horse
cast	Rascal	Paint Horse
cast	Stanley	Giraffe
cast	Jack	Buffalo
cast	Serena	Tiger
cast	Blackie	Yak
cast	Baloney	Yak
cast	Frankie	Llama
cast	Lenny	Llama
cast	Ricky	Llama
cast	Martin	Llama
cast	Widowmaker	Zebra
cast	Ace	Zebra
cast	Stripes	Zebra
cast	Zac	Zebra
cast	Bonzai	Hyena
cast	Taureg	Lioness
cast	Shiva	Lioness
cast	Amos	Bear
cast	Crystal	Black Leopard
cast	Ivory	Black Leopard
cast	Athari	Spotted Leopard
cast	Sheena	Spotted Leopard
cast	Titan	Lion Cub
cast	Massai	Lion Cub
cast	Pam	Gray Draft Horse
cast	Peggy	Gray Draft Horse
cast	Andy	Gray Draft Horse
cast	Amos	Gray Draft Horse
cast	Rugby	Wolf
cast	Maverick	Wolf
cast	Scirocco II	Camel
cast	Norton	Camel
cast	Micah	Camel
cast	Forest	Camel
cast	Fesnik	Kangaroo
cast	Tucker	Kangaroo
cast	Skyler Maxon	Benzini Roustabout
cast	Pamela Adamic	Foxtrot Dancer
cast	Jacob Bertrand	Boy
cast	Kimberly Bishop	Rube
cast	Max Bogner	Coroner
cast	Joseph Booton	Deposit Rube
cast	Slav Boston	Rube
cast	Rick L. Dean	Rube
cast	Tatum Etheridge	Jacob's Daughter
cast	Cathy Fielding	Rube
cast	Sean Galuszka	Circus Performer
cast	Daniel Grey	Cornell Student
cast	Lauren Harper	Speakeasy Patron
cast	Christopher Karl Johnson	Foxtrot Dancer in Speakeasy
cast	Melissa Johnston	Foxtrot Dancer
cast	Sarah Karjian	Speakeasy Socialite
cast	Ryan J Kelly	Dancer
cast	Kevin Ketcham	Benzini Lead Core Roustabout
cast	Tracy Lockridge	Roustabout
cast	Lindsay Lucas-Bartlett	Downscale Rube
cast	Tommy Lukas	Benzini Core Roustabout
cast	Alan Mueting	Smoker at Speakeasy
cast	Stephane Nicoli	Rube
cast	Fynn O'Hara	Dancer
cast	Ashley Palmer	Foxtrot Dancer
cast	Ginger Pauley	Cigarette Girl
cast	Erin Pickett	Circus Visitor
cast	Julianna Pitt	Fox-trotter
cast	Barry Ratcliffe	Foxtrot Dancer
cast	David Rivera	Benzini Roustabout
cast	Deborah Rombaut	New York Socialite
cast	Chris Rubio	Cornell Friend of Jacob
cast	Adrienne Rusk	Speakeasy Socialite
cast	Matthew C. Ryan	Benzini Roustabout
cast	Jenny Sauer	Fox Trot Dancer
cast	Tim Schramm	Lower Class Rube
cast	Matthew Schuster	Rube
cast	Zach Silverman	Upper Class Rube
cast	Daniel Sobieray	Dancer
cast	Sandra Staggs	Dancer
cast	Lisa Marie Summerscales	Rube
cast	Derek Jon Talsma	Rube
cast	George F. Watson	Townie
cast	Cody Wood	Rube
