year	1998
imdb score	6.5
meta score	52
genre	Crime
genre	Mystery
genre	Thriller
keyword	high school
keyword	florida
keyword	police
keyword	south florida
keyword	greed
keyword	scheme
keyword	love
keyword	teacher
keyword	female frontal nudity
keyword	topfree
keyword	girl on girl
keyword	swimsuit
keyword	deceit
keyword	thong
keyword	leg spreading
keyword	poison
keyword	obscene finger gesture
keyword	murder
keyword	gothic
keyword	killer
keyword	panties
keyword	pool
keyword	female villain
keyword	bleach blond
keyword	voyeur
keyword	tooth extraction
keyword	mind game
keyword	sexual harassment
keyword	erotic fantasy
keyword	female female kiss
keyword	bisexual girl
keyword	two killers
keyword	teenage sex
keyword	partner in crime
keyword	lesbian love
keyword	lesbian friend
keyword	fatal attraction
keyword	ménage à trois
keyword	sapphism
keyword	teenager
keyword	fake breasts
keyword	money
keyword	threesome
keyword	scantily clad female
keyword	nudity
keyword	goth girl
keyword	woman to woman kiss
keyword	neo noir
keyword	swimming pool
keyword	miami beach
keyword	slut
keyword	cleavage
keyword	glasses
keyword	blonde
keyword	breasts
keyword	one piece swimsuit
keyword	catfight
keyword	fake relative
keyword	incestuous sex
keyword	nipples
keyword	sex in a motel
keyword	sunglasses
keyword	lesbian
keyword	aunt
keyword	younger sister
keyword	bikini
keyword	daughter sleeps with mother's lover
keyword	no panties
keyword	sex
keyword	bisexual
keyword	half naked female
keyword	see through clothes
keyword	courtroom
keyword	18 year old
keyword	spear gun
keyword	false accusation
keyword	surrogate grandmother
keyword	fondling
keyword	women kissing
keyword	femme fatale
keyword	alligator
keyword	cheerleader
keyword	bra
keyword	sexual frustration
keyword	nude
keyword	nipples visible through clothing
keyword	panic
keyword	bisexuality
keyword	teacher student relationship
keyword	sailing
keyword	partial female nudity
keyword	lesbian sex
keyword	incest
keyword	female psychopath
keyword	half sister
keyword	evil woman
keyword	sea
keyword	reference to jfk assassination
keyword	family relationships
keyword	cult movie cast
keyword	sex in swimming pool
keyword	taboo sex
keyword	sex with teenager
keyword	guidance counselor
keyword	poisoned
keyword	topless female nudity
keyword	first of series
keyword	whistle
keyword	sensuality
keyword	irreverence
keyword	male frontal nudity
keyword	scheming aunt
keyword	girl in panties
keyword	alleged rape
keyword	villain played by lead actor
keyword	murderess
keyword	white trash
keyword	female criminal
keyword	ostracism
keyword	aunt niece incest
keyword	lolita
keyword	sailboat
keyword	sins of the father
keyword	penis
keyword	rich father
keyword	rough sex
keyword	poisoned drink
keyword	sex with a student
keyword	two women one man
keyword	two word title
keyword	cult film
keyword	shot with a spear gun
keyword	female killer
keyword	seduction
keyword	groping
keyword	caress
keyword	reference to medea
keyword	friendship
keyword	secretly photographed
keyword	attraction
keyword	alternate version
keyword	male full frontal nudity
keyword	forbidden sex
keyword	voyeurism
keyword	breast implant
keyword	see through swimsuit
keyword	incestuous kiss
keyword	box office flop
keyword	florida everglades
keyword	blackmail
keyword	1990s
keyword	wealth
keyword	teenager
keyword	female rear nudity
keyword	miscarriage of justice
keyword	shower
keyword	frame up
keyword	illicit relationship
keyword	sexual desire
keyword	rape accusation
keyword	brunette
keyword	desire
keyword	psychopath
keyword	white bra and panties
keyword	lesbian incest
keyword	double cross
keyword	bare breasts
keyword	state employee
keyword	tomboy
keyword	niece
keyword	bisexual woman
keyword	miami florida
keyword	lesbianism
keyword	incestuous relationship
keyword	lust
keyword	sexual attraction
keyword	high school girl
keyword	revenge
keyword	nude girl
keyword	mother daughter relationship
keyword	lesbian kiss
keyword	sex with schoolgirl
keyword	female nudity
keyword	shirt
keyword	scam
keyword	aunt niece relationship
keyword	surprise ending
keyword	
cast	Kevin Bacon	Ray Duquette
cast	Matt Dillon	Sam Lombardo
cast	Neve Campbell	Suzie Toller
cast	Theresa Russell	Sandra Van Ryan
cast	Denise Richards	Kelly Van Ryan
cast	Daphne Rubin-Vega	Gloria Perez
cast	Robert Wagner	Tom Baxter
cast	Bill Murray	Ken Bowden
cast	Carrie Snodgress	Ruby
cast	Jeff Perry	Bryce Hunter
cast	Cory Pendergast	Jimmy Leach
cast	Marc Macaulay	Walter
cast	Toi Svane Stepp	Nicole
cast	Dennis Neal	Art Maddox
cast	Diane Adams	School Secretary
cast	Paulo Benedeti	Kirk
cast	Eduardo Yáñez	Frankie Condo
cast	Jennifer Taylor	Barbara Baxter
cast	Victoria Bass	Judge
cast	Ted Bartsch	Bailiff
cast	Leonor Anthony	Ken's Secretary
cast	Antoni Corone	Police Chief
cast	Robert Deacon	Prisoner
cast	Anthony Giaimo	Dave
cast	Manny Suárez	Georgie
cast	Janet Bushor	Barmaid
cast	Gina LaMarca	Hooker
cast	Nancy Duerr	Reporter #1
cast	Margo Peace	Reporter #2
cast	Keith Wilson	Reporter #3
cast	Nelson Oramas	Policeman #1
cast	Michael Dean Walker	Policeman #2
cast	Jesse Muson	Policeman #3
cast	Kimberly Lamaze	Policewoman #1
cast	Rebecca White	Policewoman #2
cast	Danielle Camastra	
cast	Mark Cheek	Student
cast	Christopher De Stefano	Courtroom Observer
cast	Pati Lauren	Courthouse Reporter #2
cast	Tonia Madenford	Courtroom Spectator
cast	Laurie Wallace	Bikini Girl
