year	2012
imdb score	7.5
meta score	95
genre	Drama
genre	History
genre	Thriller
keyword	al qaeda
keyword	osama bin laden
keyword	navy seal
keyword	cia
keyword	terrorist
keyword	torture
keyword	prisoner
keyword	pakistan
keyword	interrogation
keyword	intelligence analyst
keyword	spain
keyword	american abroad
keyword	woman shot
keyword	male tied up
keyword	manhunt
keyword	shot through a door
keyword	shot to death
keyword	kidney disease
keyword	ak 47
keyword	shot in the back
keyword	military drone
keyword	controversial theory
keyword	islamabad pakistan
keyword	body bag
keyword	controversy
keyword	hero kills a woman
keyword	cia director
keyword	year 2009
keyword	september 11 2001
keyword	raid
keyword	suspense
keyword	terrorist plot
keyword	combat
keyword	monkey
keyword	night vision goggles
keyword	shot in the chest
keyword	reference to barack obama
keyword	surveillance
keyword	spy
keyword	suspected terrorist
keyword	satellite
keyword	prison camp
keyword	terrorist group
keyword	terrorism
keyword	phone booth
keyword	assassination attempt
keyword	shootout
keyword	exploding helicopter
keyword	wiretapping
keyword	commando unit
keyword	sleep deprivation
keyword	baghdad iraq
keyword	politics
keyword	desert
keyword	blood on face
keyword	langley virginia
keyword	explosion
keyword	year 2011
keyword	van
keyword	controversial
keyword	workaholic
keyword	title directed by female
keyword	bucket
keyword	humiliation
keyword	male rear nudity
keyword	wig
keyword	blood
keyword	military
keyword	character's point of view camera shot
keyword	commando
keyword	dog
keyword	london england
keyword	bondage
keyword	area 51
keyword	exploding car
keyword	woman crying
keyword	senator
keyword	commando raid
keyword	death of osama bin laden
keyword	obsession
keyword	espionage
keyword	historical revisionism
keyword	strapped to a bomb
keyword	undercover
keyword	war on terrorism
keyword	post september 11 2001
keyword	false flag
keyword	machine gun
keyword	f word
keyword	cia agent
keyword	no title at beginning
keyword	exploding bus
keyword	lamborghini
keyword	lies
keyword	subtitled scene
keyword	poland
keyword	undercover agent
keyword	gunfight
keyword	pistol
keyword	no opening credits
keyword	punched in the face
keyword	dead woman with eyes open
keyword	female spy
keyword	tear on cheek
keyword	shot in the forehead
keyword	cigarette smoking
keyword	exploding body
keyword	political subtext
keyword	mercenary
keyword	intelligence agent
keyword	paris france
keyword	helicopter
keyword	aircraft carrier
keyword	soldier
keyword	suicide bomber
keyword	waterboarding
keyword	terrorist bombing
keyword	silencer
keyword	suv
keyword	stealth aircraft
keyword	shot in the head
keyword	assassination
keyword	hotel
keyword	character repeating someone else's dialogue
keyword	assault rifle
keyword	commando mission
keyword	special forces
keyword	mossad
keyword	street shootout
keyword	nightclub
keyword	female agent
keyword	year 2003
keyword	night vision
keyword	terrorist attack
keyword	year 2005
keyword	helicopter crash
keyword	death of friend
keyword	
cast	Jason Clarke	Dan
cast	Reda Kateb	Ammar
cast	Jessica Chastain	Maya
cast	Kyle Chandler	Joseph Bradley
cast	Jennifer Ehle	Jessica
cast	Harold Perrineau	Jack
cast	Jeremy Strong	Thomas
cast	J.J. Kandel	J.J.
cast	Wahab Sheikh	Detainee on Monitor
cast	Alexander Karim	Detainee on Monitor
cast	Nabil Elouahabi	Detainee on Monitor
cast	Aymen Hamdouchi	Detainee on Monitor
cast	Simon Abkarian	Detainee on Monitor
cast	Ali Marhyar	Interrogator on Monitor
cast	Parker Sawyers	Interrogator on Monitor
cast	Akin Gazi	Interrogator on Monitor
cast	Derek Siow	Interrogator on Monitor
cast	Fares Fares	Hakim
cast	Mohammad K.	Cargo Ship Detainee
cast	Henry Garrett	Bagram Guard
cast	Homayoun Ershadi	Hassan Ghul
cast	Darshan Aulakh	Pakistani Detention Center Guard
cast	Navdeep Singh	Faraj Courier
cast	Yoav Levi	Abu Faraj al-Libbi
cast	Sukhdeep Singh	Pakistani Guard at Marriott
cast	Musa Sattari	Human Khalil al-Balawi
cast	David Menkin	Case Officer
cast	Scott Adkins	John
cast	Eyad Zoubi	Zied
cast	Julian Lewis Jones	Blackwater Guard
cast	Christian Contreras	C.I.A. Security
cast	Lauren Shaw	Lauren
cast	Zachary Becker	Embassy Tech
cast	Mark Strong	George
cast	John Antonini	Analyst at Embassy
cast	Jessica Collins	Debbie
cast	Fredric Lehne	The Wolf
cast	Ashraf Telfah	Kuwaiti Businessman
cast	Édgar Ramírez	Larry from Ground Branch
cast	Jonathan Olley	Tech from Ground Branch
cast	Ben Lambert	N.S.A. Tech
cast	Manraaj Singh	Rawal Caller
cast	Tushaar Mehra	Abu Ahmed
cast	Daniel Lapaine	Tim - Station Chief
cast	Udayan Baijal	Guard at Maya's Apartment
cast	Mark Duplass	Steve
cast	James Gandolfini	C.I.A. Director
cast	Stephen Dillane	National Security Advisor
cast	John Schwab	Deputy National Security Advisor
cast	Martin Delaney	Assistant to National Security Advisor
cast	Nabil Koni	Pakistani Doctor
cast	Anthony Edridge	General in Hangar
cast	John Barrowman	Jeremy
cast	Jeff Mash	Deputy Director of C.I.A.
cast	Joel Edgerton	Patrick - Squadron Team Leader
cast	Chris Pratt	Justin - DEVGRU
cast	Taylor Kinney	Jared - DEVGRU
cast	Callan Mulvey	Saber - DEVGRU
cast	Siaosi Fonua	Henry - DEVGRU
cast	Phil Somerville	Phil - DEVGRU
cast	Nash Edgerton	Nate - DEVGRU EOD
cast	Mike Colter	Mike - DEVGRU
cast	Frank Grillo	Squadron Commanding Officer
cast	Brett Praed	DEVGRU Operator
cast	Aron Eastwood	DEVGRU Operator
cast	Heemi Browstow	DEVGRU Operator
cast	Chris Scarf	DEVGRU Operator
cast	Barrie Rice	DEVGRU Operator
cast	Robert Young	DEVGRU Operator
cast	Spencer Coursen	DEVGRU Operator
cast	Chris Perry	DEVGRU Operator
cast	Alex Corbet Burcher	DEVGRU Operator
cast	Robert G. Eastman	DEVGRU Operator
cast	Tim Martin	DEVGRU Operator
cast	Mitchell Hall	DEVGRU Operator
cast	P.t.	DEVGRU Operator
cast	Alan Pietruszewski	Pilot
cast	Kevin LaRosa Jr.	Pilot
cast	M.D. Selig	Pilot
cast	Benjamin John Parrillo	Pilot
cast	Christopher Stanley	Admiral Bill McCraven
cast	Hadeel Shqair	Abu Ahmed's Wife
cast	Noureddine Haijjoujou	Abrar
cast	Nour Alkawaja	Abrar's Wife
cast	Malika Sayd	UBL Wife
cast	Siham Rida	UBL Wife
cast	Monia Moula	UBL Wife
cast	Zalfa Seurat	UBL Wife
cast	Tarick Hadouch	Khalid
cast	Ricky Sekhon	UBL
cast	Mark Valley	C-130 Pilot
cast	Lee Asquith-Coe	Sean Cohen
cast	Greg Bennett	CIA Agent
cast	James Garson Chick	Navy Seal
cast	Grant Chism	CIA Employee
cast	Tommy Dallace	Navy Seal Commander
cast	Nick Donald	CIA Agent
cast	Jeffrey Feingold	Mosad Agent
cast	Jo Hart	CIA Operative
cast	James Lowe	CIA Agent
cast	Sean Mahon	Prince Pilot 52
cast	Damien Moreno	Shooter #2
cast	Nathan Nolan	Prince Pilot 52
cast	Barack Obama	Himself
cast	Michael C. Pierce	American Businessman
cast	Alan D. Purwin	Helicopter Pilot
cast	Jasper Salon	CIA Tech
cast	Senem Temiz	CIA Agent
cast	Omid Zader	Shooter #1
